date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,27,17,0.0,14.5,5,24,01:25 AM,03:22 PM,05:38 AM,08:30 PM,19,23,23,21,21,41,90,10.5,1012,27,8,103,13,Maryland
2011-06-26,27,21,0.0,12.4,5,17,01:55 AM,04:21 PM,05:39 AM,08:30 PM,22,26,26,24,8,59,91,29.5,1011,27,7,103,5,Maryland
2011-06-27,30,20,0.0,12.4,6,9,02:30 AM,05:20 PM,05:39 AM,08:30 PM,21,28,28,25,15,51,78,3.6,1013,30,8,200,9,Maryland
2011-06-28,29,19,0.0,14.5,5,2,03:12 AM,06:18 PM,05:40 AM,08:30 PM,19,24,24,23,12,19,81,4.7,1017,29,7,97,7,Maryland
2011-06-29,28,17,0.0,14.5,6,0,04:00 AM,07:13 PM,05:40 AM,08:30 PM,18,24,24,22,13,2,78,0.0,1018,28,10,134,7,Maryland
2011-06-30,30,18,0.0,14.5,7,0,04:55 AM,08:04 PM,05:40 AM,08:30 PM,20,26,26,24,18,2,77,0.0,1015,30,10,164,11,Maryland
2011-07-01,33,20,0.0,14.5,7,0,05:57 AM,08:49 PM,05:41 AM,08:30 PM,21,30,30,26,16,11,76,0.0,1015,33,10,181,9,Maryland
2011-07-02,36,21,0.0,14.5,8,6,07:03 AM,09:29 PM,05:41 AM,08:30 PM,22,33,33,28,12,12,71,0.8,1015,36,10,208,7,Maryland
2011-07-03,31,21,0.0,14.5,6,13,08:11 AM,10:05 PM,05:42 AM,08:30 PM,24,31,31,26,9,35,89,25.5,1014,31,6,193,6,Maryland
2011-07-04,31,20,0.0,13.5,6,20,09:21 AM,10:37 PM,05:42 AM,08:30 PM,22,27,27,24,8,38,88,13.3,1014,31,9,212,5,Maryland
2011-07-05,31,20,0.0,14.5,6,27,10:30 AM,11:08 PM,05:43 AM,08:30 PM,22,28,28,25,10,6,86,2.8,1015,31,8,82,6,Maryland
2011-07-06,32,21,0.0,14.5,7,35,11:40 AM,11:39 PM,05:43 AM,08:29 PM,22,30,30,26,8,7,79,0.8,1014,32,10,119,5,Maryland
2011-07-07,29,20,0.0,13.5,6,42,12:49 PM,No moonset,05:44 AM,08:29 PM,22,27,27,24,9,35,88,18.9,1012,29,9,136,5,Maryland
2011-07-08,29,19,0.0,13.5,6,49,01:59 PM,12:11 AM,05:45 AM,08:29 PM,21,26,26,24,14,35,87,1.6,1010,29,7,68,9,Maryland
2011-07-09,30,20,0.0,14.5,7,56,03:10 PM,12:47 AM,05:45 AM,08:28 PM,22,28,28,25,13,3,83,0.0,1012,30,9,116,8,Maryland
2011-07-10,34,20,0.0,14.5,7,64,04:19 PM,01:27 AM,05:46 AM,08:28 PM,23,32,32,27,19,5,82,0.0,1011,34,10,161,11,Maryland
2011-07-11,37,24,0.0,14.5,8,71,05:25 PM,02:13 AM,05:46 AM,08:28 PM,25,38,38,30,16,13,74,0.0,1011,37,10,245,9,Maryland
2011-07-12,35,24,0.0,14.5,7,78,06:25 PM,03:06 AM,05:47 AM,08:27 PM,26,36,36,29,9,15,83,4.0,1013,35,10,158,5,Maryland
2011-07-13,30,22,0.0,9.2,6,86,07:17 PM,04:05 AM,05:48 AM,08:27 PM,23,29,29,25,12,59,90,4.9,1013,30,8,143,7,Maryland
2011-07-14,30,20,0.0,13.4,6,93,08:02 PM,05:08 AM,05:49 AM,08:26 PM,22,27,27,25,14,39,87,0.8,1013,30,8,85,8,Maryland
2011-07-15,30,21,0.0,14.5,7,100,08:39 PM,06:12 AM,05:49 AM,08:26 PM,22,28,28,25,13,11,83,0.0,1013,30,8,102,8,Maryland
2011-07-16,31,21,0.0,14.5,7,100,09:12 PM,07:17 AM,05:50 AM,08:25 PM,22,28,28,26,12,14,79,0.0,1015,31,10,128,7,Maryland
2011-07-17,32,23,0.0,14.5,7,85,09:41 PM,08:19 AM,05:51 AM,08:25 PM,23,32,32,27,14,11,77,0.0,1018,32,10,190,8,Maryland
2011-07-18,33,22,0.0,14.5,7,78,10:07 PM,09:19 AM,05:51 AM,08:24 PM,23,33,33,28,15,7,75,0.0,1017,33,10,209,8,Maryland
2011-07-19,36,24,0.0,14.5,8,71,10:33 PM,10:17 AM,05:52 AM,08:23 PM,25,37,37,30,14,4,76,0.0,1013,36,10,247,8,Maryland
2011-07-20,36,24,0.0,14.5,8,64,10:59 PM,11:15 AM,05:53 AM,08:23 PM,24,36,36,30,15,0,72,0.0,1011,36,10,209,9,Maryland
2011-07-21,37,24,0.0,14.5,8,56,11:26 PM,12:12 PM,05:54 AM,08:22 PM,24,36,36,30,16,5,71,0.0,1011,37,10,205,8,Maryland
2011-07-22,35,24,0.0,14.5,8,49,11:55 PM,01:10 PM,05:55 AM,08:21 PM,24,35,35,29,19,4,73,0.0,1012,35,10,182,10,Maryland
2011-07-23,31,25,0.0,14.5,7,42,No moonrise,02:08 PM,05:55 AM,08:21 PM,25,33,33,27,17,10,86,0.0,1013,31,10,185,9,Maryland
2011-07-24,35,24,0.0,13.4,6,34,12:28 AM,03:07 PM,05:56 AM,08:20 PM,25,33,33,28,16,25,85,7.9,1015,35,9,150,9,Maryland
2011-07-25,35,22,0.0,14.5,8,27,01:06 AM,04:05 PM,05:57 AM,08:19 PM,24,33,33,28,8,5,82,0.0,1013,35,8,120,5,Maryland
2011-07-26,34,24,0.0,14.5,7,20,01:50 AM,05:01 PM,05:58 AM,08:18 PM,25,34,34,29,12,8,80,0.4,1010,34,8,174,7,Maryland
2011-07-27,33,22,0.0,14.5,7,13,02:42 AM,05:54 PM,05:59 AM,08:17 PM,22,32,32,28,22,1,72,0.0,1010,33,10,188,12,Maryland
2011-07-28,34,23,0.0,14.5,7,5,03:41 AM,06:41 PM,05:59 AM,08:16 PM,22,32,32,28,23,3,72,0.0,1013,34,10,201,13,Maryland
2011-07-29,34,24,0.0,14.2,7,0,04:45 AM,07:25 PM,06:00 AM,08:15 PM,25,34,34,28,14,15,81,4.5,1014,34,10,199,8,Maryland
2011-07-30,32,23,0.0,11.6,6,0,05:54 AM,08:03 PM,06:01 AM,08:14 PM,25,32,32,27,8,35,88,8.2,1016,32,6,86,5,Maryland
2011-07-31,33,22,0.0,11.6,6,0,07:05 AM,08:37 PM,06:02 AM,08:14 PM,24,33,33,28,9,18,83,5.5,1017,33,8,88,5,Maryland
2011-08-01,35,24,0.0,11.6,8,9,08:16 AM,09:10 PM,06:03 AM,08:13 PM,25,35,35,29,13,0,79,0.0,1015,35,9,164,7,Maryland
