date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,28,18,0.0,13.5,5,24,01:30 AM,03:27 PM,05:44 AM,08:37 PM,16,23,23,22,14,33,71,0.2,1011,28,10,294,8,Massachusetts
2011-06-26,28,17,0.0,11.4,5,17,02:00 AM,04:25 PM,05:45 AM,08:38 PM,17,23,23,23,10,47,73,0.0,1015,28,10,268,6,Massachusetts
2011-06-27,28,18,0.0,12.4,6,9,02:35 AM,05:25 PM,05:45 AM,08:38 PM,19,25,25,24,16,50,76,1.6,1013,28,9,217,10,Massachusetts
2011-06-28,31,20,0.0,14.5,6,2,03:16 AM,06:23 PM,05:45 AM,08:38 PM,22,28,28,25,10,40,82,4.2,1012,31,8,221,6,Massachusetts
2011-06-29,30,20,0.0,14.5,7,0,04:03 AM,07:18 PM,05:46 AM,08:38 PM,17,25,25,24,19,10,68,0.0,1013,30,10,305,12,Massachusetts
2011-06-30,32,18,0.0,14.5,7,0,04:59 AM,08:09 PM,05:46 AM,08:38 PM,16,24,24,23,11,3,65,0.0,1016,32,10,325,7,Massachusetts
2011-07-01,32,18,0.0,14.5,7,0,06:00 AM,08:54 PM,05:47 AM,08:37 PM,15,25,25,24,11,2,59,0.0,1016,32,10,152,7,Massachusetts
2011-07-02,31,16,0.0,14.5,7,6,07:06 AM,09:35 PM,05:47 AM,08:37 PM,17,25,25,24,10,18,66,0.1,1017,31,10,175,6,Massachusetts
2011-07-03,34,20,0.0,14.5,6,13,08:15 AM,10:10 PM,05:48 AM,08:37 PM,20,29,29,26,14,25,72,2.3,1012,34,10,238,8,Massachusetts
2011-07-04,31,21,0.0,14.5,7,20,09:25 AM,10:43 PM,05:48 AM,08:37 PM,20,27,27,25,11,24,75,0.4,1012,31,9,218,6,Massachusetts
2011-07-05,32,20,0.0,14.5,6,27,10:34 AM,11:14 PM,05:49 AM,08:37 PM,21,28,28,26,9,14,75,1.6,1014,32,9,183,5,Massachusetts
2011-07-06,31,21,0.0,13.5,6,35,11:44 AM,11:45 PM,05:49 AM,08:37 PM,21,28,28,26,11,21,73,1.1,1014,31,10,224,7,Massachusetts
2011-07-07,34,20,0.0,14.5,8,42,12:53 PM,No moonset,05:50 AM,08:36 PM,20,30,30,27,12,7,69,0.0,1013,34,10,213,7,Massachusetts
2011-07-08,30,21,0.0,13.5,6,49,02:03 PM,12:16 AM,05:50 AM,08:36 PM,23,28,28,25,12,41,88,19.6,1010,30,6,192,7,Massachusetts
2011-07-09,33,20,0.0,14.5,7,56,03:14 PM,12:51 AM,05:51 AM,08:36 PM,19,27,27,25,11,6,71,0.0,1012,33,9,183,8,Massachusetts
2011-07-10,32,18,0.0,14.5,7,64,04:23 PM,01:31 AM,05:52 AM,08:35 PM,19,27,27,26,12,10,70,0.0,1017,32,10,142,7,Massachusetts
2011-07-11,34,21,0.0,14.5,7,71,05:30 PM,02:17 AM,05:52 AM,08:35 PM,22,30,30,27,17,11,74,0.0,1014,34,9,198,11,Massachusetts
2011-07-12,34,23,0.0,14.5,8,78,06:30 PM,03:10 AM,05:53 AM,08:34 PM,20,31,31,28,16,12,63,0.0,1009,34,10,307,11,Massachusetts
2011-07-13,33,22,0.0,14.5,6,86,07:23 PM,04:08 AM,05:54 AM,08:34 PM,20,29,29,27,15,16,71,2.8,1010,33,10,295,8,Massachusetts
2011-07-14,30,18,0.0,14.5,6,93,08:07 PM,05:12 AM,05:54 AM,08:33 PM,15,23,23,22,17,12,63,0.0,1016,30,10,125,11,Massachusetts
2011-07-15,28,18,0.0,14.5,6,100,08:45 PM,06:16 AM,05:55 AM,08:33 PM,16,23,23,22,14,10,71,0.0,1019,28,10,188,9,Massachusetts
2011-07-16,29,19,0.0,14.5,7,100,09:18 PM,07:21 AM,05:56 AM,08:32 PM,17,24,24,24,14,6,71,0.0,1021,29,9,196,10,Massachusetts
2011-07-17,31,18,0.0,14.5,7,85,09:47 PM,08:23 AM,05:57 AM,08:32 PM,18,25,25,24,17,22,71,0.0,1021,31,10,201,10,Massachusetts
2011-07-18,36,21,0.0,14.5,8,78,10:13 PM,09:23 AM,05:57 AM,08:31 PM,20,30,30,27,13,6,67,0.0,1016,36,10,223,8,Massachusetts
2011-07-19,33,24,0.0,14.5,7,71,10:38 PM,10:22 AM,05:58 AM,08:31 PM,23,32,32,28,12,18,74,14.0,1010,33,8,234,7,Massachusetts
2011-07-20,34,23,0.0,13.4,7,64,11:04 PM,11:20 AM,05:59 AM,08:30 PM,24,33,33,28,12,30,80,1.0,1011,34,8,111,7,Massachusetts
2011-07-21,37,24,0.0,14.3,8,56,11:31 PM,12:17 PM,06:00 AM,08:29 PM,24,36,36,30,13,29,72,0.1,1010,37,8,207,8,Massachusetts
2011-07-22,39,27,0.0,14.3,8,49,12:00 AM,01:15 PM,06:00 AM,08:28 PM,23,38,38,32,12,11,61,0.4,1012,39,10,271,7,Massachusetts
2011-07-23,30,27,0.0,11.6,7,42,No moonrise,02:13 PM,06:01 AM,08:28 PM,22,32,32,29,16,8,67,0.0,1014,30,10,303,9,Massachusetts
