date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,27,15,0.0,14.5,6,24,01:32 AM,03:40 PM,05:40 AM,08:45 PM,8,21,21,21,14,7,45,0.0,1011,27,10,222,9,Minnesota
2011-06-26,27,15,0.0,14.5,6,17,02:02 AM,04:39 PM,05:41 AM,08:45 PM,9,22,22,22,13,13,48,0.0,1012,27,10,125,9,Minnesota
2011-06-27,32,15,0.0,13.5,6,9,02:37 AM,05:39 PM,05:41 AM,08:45 PM,8,23,23,23,12,27,41,0.0,1012,32,10,185,7,Minnesota
2011-06-28,16,11,0.0,10.4,3,2,03:18 AM,06:37 PM,05:41 AM,08:45 PM,12,14,14,14,14,67,89,32.1,1008,16,7,130,9,Minnesota
2011-06-29,17,9,0.0,14.5,4,0,04:06 AM,07:32 PM,05:42 AM,08:45 PM,9,14,14,14,11,19,76,0.6,1013,17,9,163,8,Minnesota
2011-06-30,22,12,0.0,14.5,5,0,05:02 AM,08:22 PM,05:42 AM,08:45 PM,8,17,17,17,11,3,60,0.0,1016,22,10,266,7,Minnesota
2011-07-01,33,21,0.0,11.6,7,0,06:48 AM,09:05 PM,06:35 AM,08:44 PM,21,30,30,27,11,5,73,0.2,1015,33,9,164,7,Minnesota
2011-07-02,34,22,0.0,11.6,7,6,07:52 AM,09:49 PM,06:35 AM,08:44 PM,22,31,31,27,8,9,74,4.1,1016,34,9,114,5,Minnesota
2011-07-03,34,21,0.0,11.6,7,13,08:56 AM,10:28 PM,06:35 AM,08:44 PM,21,30,30,27,11,10,70,2.3,1016,34,10,130,7,Minnesota
2011-07-04,32,21,0.0,11.6,6,20,10:01 AM,11:06 PM,06:36 AM,08:44 PM,21,30,30,26,10,15,75,4.8,1015,32,10,238,6,Minnesota
2011-07-05,33,23,0.0,11.6,6,27,11:06 AM,11:41 PM,06:36 AM,08:44 PM,22,31,31,27,11,23,74,7.3,1015,33,9,258,7,Minnesota
2011-07-06,34,22,0.0,11.6,7,35,12:10 PM,No moonset,06:37 AM,08:43 PM,22,31,31,28,12,18,72,1.8,1015,34,10,236,7,Minnesota
