date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,33,25,0.0,14.5,7,24,01:31 AM,03:02 PM,05:56 AM,08:02 PM,22,32,32,28,14,9,71,0.5,1014,33,10,199,9,Mississippi
2011-06-26,32,26,0.0,14.5,7,17,02:05 AM,03:57 PM,05:56 AM,08:02 PM,23,33,33,29,14,8,69,2.8,1015,32,10,202,10,Mississippi
2011-06-27,32,26,0.0,12.3,6,9,02:44 AM,04:53 PM,05:56 AM,08:02 PM,23,33,33,29,15,41,72,1.9,1015,32,10,178,10,Mississippi
2011-06-28,35,27,0.0,14.5,8,2,03:28 AM,05:50 PM,05:57 AM,08:02 PM,24,34,34,30,11,14,71,1.0,1016,35,10,208,7,Mississippi
2011-06-29,34,25,0.0,14.5,8,0,04:17 AM,06:44 PM,05:57 AM,08:02 PM,23,33,33,29,9,27,69,2.7,1015,34,10,235,6,Mississippi
2011-06-30,36,26,0.0,14.5,8,0,05:12 AM,07:36 PM,05:57 AM,08:02 PM,23,35,35,30,10,10,68,0.2,1014,36,10,212,6,Mississippi
2011-07-01,37,27,0.0,14.4,7,0,06:12 AM,08:24 PM,05:58 AM,08:02 PM,24,35,35,30,19,7,71,3.2,1014,37,10,230,12,Mississippi
2011-07-02,35,27,0.0,14.4,7,6,07:15 AM,09:08 PM,05:58 AM,08:02 PM,24,35,35,30,17,11,71,2.1,1015,35,10,233,12,Mississippi
2011-07-03,33,27,0.0,14.4,7,13,08:19 AM,09:49 PM,05:59 AM,08:02 PM,23,33,33,29,14,12,69,5.2,1015,33,10,188,10,Mississippi
2011-07-04,33,26,0.0,14.4,7,20,09:24 AM,10:26 PM,05:59 AM,08:02 PM,22,32,32,29,11,15,67,0.4,1015,33,10,170,8,Mississippi
2011-07-05,33,26,0.0,14.4,8,27,10:27 AM,11:02 PM,05:59 AM,08:02 PM,22,32,32,29,10,17,66,0.0,1015,33,10,154,7,Mississippi
2011-07-06,33,25,0.0,14.0,7,35,11:32 AM,11:38 PM,06:00 AM,08:02 PM,22,32,32,29,9,16,68,0.3,1015,33,10,133,6,Mississippi
2011-07-07,35,26,0.0,14.0,7,42,12:36 PM,No moonset,06:00 AM,08:02 PM,23,34,34,30,11,15,67,2.7,1013,35,10,248,7,Mississippi
2011-07-08,34,27,0.0,11.6,7,49,01:41 PM,12:15 AM,06:01 AM,08:02 PM,23,34,34,30,20,18,70,4.6,1010,34,10,246,13,Mississippi
2011-07-09,34,27,0.0,11.6,7,56,02:47 PM,12:55 AM,06:01 AM,08:01 PM,24,35,35,30,19,14,70,2.9,1012,34,10,227,13,Mississippi
2011-07-10,34,27,0.0,11.6,8,64,03:53 PM,01:40 AM,06:02 AM,08:01 PM,23,35,35,30,17,12,66,0.0,1015,34,10,219,12,Mississippi
2011-07-11,36,28,0.0,11.6,7,71,04:56 PM,02:28 AM,06:02 AM,08:01 PM,25,35,35,30,13,21,74,28.6,1016,36,8,238,8,Mississippi
2011-07-12,34,27,0.0,11.6,7,78,05:56 PM,03:23 AM,06:03 AM,08:01 PM,25,35,35,30,11,14,75,29.1,1015,34,8,284,7,Mississippi
2011-07-13,31,27,0.0,11.6,6,86,06:50 PM,04:22 AM,06:03 AM,08:00 PM,25,34,34,29,18,16,80,36.0,1013,31,7,280,10,Mississippi
2011-07-14,30,26,0.0,11.6,6,93,07:37 PM,05:23 AM,06:04 AM,08:00 PM,25,32,32,28,14,54,85,34.3,1011,30,7,256,9,Mississippi
2011-07-15,30,26,0.0,10.4,6,100,08:18 PM,06:24 AM,06:04 AM,08:00 PM,24,32,32,27,17,54,84,53.3,1010,30,5,269,10,Mississippi
2011-07-16,30,26,0.0,10.4,6,100,08:55 PM,07:25 AM,06:05 AM,07:59 PM,24,31,31,27,21,40,85,83.1,1013,30,4,270,12,Mississippi
2011-07-17,29,25,0.0,9.2,6,85,09:29 PM,08:22 AM,06:05 AM,07:59 PM,24,30,30,27,17,49,86,76.0,1016,29,5,252,10,Mississippi
2011-07-18,29,25,0.0,10.4,6,78,10:00 PM,09:18 AM,06:06 AM,07:59 PM,23,30,30,27,20,62,81,41.2,1016,29,7,152,13,Mississippi
2011-07-19,31,25,0.0,11.6,7,71,10:29 PM,10:12 AM,06:06 AM,07:58 PM,22,31,31,28,14,11,72,1.5,1015,31,10,127,10,Mississippi
2011-07-20,32,26,0.0,11.6,7,64,10:59 PM,11:05 AM,06:07 AM,07:58 PM,22,32,32,29,12,11,67,1.4,1014,32,10,201,8,Mississippi
2011-07-21,33,26,0.0,11.6,7,56,11:30 PM,11:58 AM,06:08 AM,07:57 PM,23,33,33,29,14,9,73,7.9,1014,33,9,217,9,Mississippi
2011-07-22,32,26,0.0,11.6,6,49,No moonrise,12:52 PM,06:08 AM,07:57 PM,23,33,33,29,13,23,74,11.3,1015,32,9,217,8,Mississippi
2011-07-23,28,26,0.0,11.6,6,42,12:03 AM,01:46 PM,06:09 AM,07:56 PM,23,30,30,27,18,36,79,13.2,1017,28,9,215,11,Mississippi
2011-07-24,31,26,0.0,11.6,6,34,12:40 AM,02:41 PM,06:09 AM,07:56 PM,23,31,31,28,10,30,79,41.5,1018,31,7,237,6,Mississippi
2011-07-25,30,25,0.0,10.4,6,27,01:21 AM,03:37 PM,06:10 AM,07:55 PM,24,31,31,27,15,30,83,35.9,1015,30,8,268,9,Mississippi
2011-07-26,31,25,0.0,9.2,6,20,02:07 AM,04:32 PM,06:11 AM,07:55 PM,24,32,32,27,15,45,82,23.4,1011,31,8,280,9,Mississippi
2011-07-27,30,26,0.0,7.9,6,13,02:59 AM,05:25 PM,06:11 AM,07:54 PM,24,31,31,27,11,50,81,15.7,1012,30,9,248,7,Mississippi
2011-07-28,28,26,0.0,6.7,6,5,03:57 AM,06:15 PM,06:12 AM,07:53 PM,24,30,30,27,19,55,85,34.1,1015,28,7,141,12,Mississippi
2011-07-29,32,26,0.0,11.6,6,0,04:59 AM,07:02 PM,06:12 AM,07:53 PM,24,33,33,29,18,38,77,7.7,1017,32,10,138,12,Mississippi
2011-07-30,35,26,0.0,11.6,8,0,06:03 AM,07:45 PM,06:13 AM,07:52 PM,24,35,35,30,9,10,71,1.3,1017,35,10,127,6,Mississippi
2011-07-31,33,27,0.0,11.6,7,0,07:09 AM,08:24 PM,06:14 AM,07:51 PM,25,35,35,29,15,24,76,23.7,1017,33,8,271,9,Mississippi
2011-08-01,35,26,0.0,11.6,7,9,08:15 AM,09:02 PM,06:14 AM,07:50 PM,25,35,35,30,12,27,77,24.7,1014,35,8,301,8,Mississippi
2011-08-02,35,26,0.0,11.6,7,16,09:21 AM,09:39 PM,06:15 AM,07:50 PM,25,36,36,30,13,18,77,2.0,1012,35,10,246,8,Mississippi
2011-08-03,35,28,0.0,11.6,7,24,10:27 AM,10:16 PM,06:15 AM,07:49 PM,25,37,37,31,16,13,75,7.0,1011,35,9,261,9,Mississippi
2011-08-04,35,28,0.0,11.6,8,31,11:34 AM,10:56 PM,06:16 AM,07:48 PM,26,38,38,31,14,10,74,0.8,1012,35,10,239,9,Mississippi
2011-08-05,34,28,0.0,11.6,7,38,12:39 PM,11:39 PM,06:17 AM,07:47 PM,25,37,37,30,11,13,75,25.4,1013,34,8,202,6,Mississippi
2011-08-06,35,28,0.0,11.6,8,45,01:46 PM,No moonset,06:17 AM,07:47 PM,25,37,37,31,9,8,72,2.4,1014,35,10,181,6,Mississippi
2011-08-07,34,28,0.0,11.6,7,53,02:49 PM,12:26 AM,06:18 AM,07:46 PM,25,36,36,30,12,19,72,1.9,1013,34,10,236,8,Mississippi
2011-08-08,32,27,0.0,11.6,6,60,03:49 PM,01:19 AM,06:18 AM,07:45 PM,25,35,35,29,21,16,79,5.8,1012,32,9,248,13,Mississippi
2011-08-09,33,27,0.0,11.6,7,67,04:44 PM,02:15 AM,06:19 AM,07:44 PM,25,35,35,30,22,11,75,3.7,1011,33,9,258,15,Mississippi
2011-08-10,35,27,0.0,11.6,7,74,05:33 PM,03:14 AM,06:20 AM,07:43 PM,24,36,36,31,18,30,70,2.6,1011,35,10,251,12,Mississippi
2011-08-11,34,28,0.0,11.6,7,82,06:16 PM,04:14 AM,06:20 AM,07:42 PM,25,36,36,30,19,10,74,9.7,1012,34,9,244,11,Mississippi
2011-08-12,35,27,0.0,11.6,7,89,06:54 PM,05:14 AM,06:21 AM,07:41 PM,24,36,36,30,14,13,71,8.1,1013,35,9,248,9,Mississippi
2011-08-13,35,27,0.0,11.6,7,96,07:29 PM,06:12 AM,06:21 AM,07:40 PM,24,35,35,30,10,14,68,11.1,1014,35,9,240,6,Mississippi
2011-08-14,32,27,0.0,11.6,7,100,08:00 PM,07:09 AM,06:22 AM,07:39 PM,24,34,34,29,16,15,72,22.9,1012,32,8,278,9,Mississippi
2011-08-15,34,24,0.0,11.6,7,89,08:30 PM,08:03 AM,06:23 AM,07:38 PM,19,30,30,29,16,6,58,0.0,1012,34,10,178,10,Mississippi
2011-08-16,35,24,0.0,11.6,8,82,09:00 PM,08:57 AM,06:23 AM,07:37 PM,20,32,32,29,12,4,57,0.0,1014,35,10,99,7,Mississippi
2011-08-17,34,26,0.0,11.6,7,75,09:31 PM,09:50 AM,06:24 AM,07:36 PM,21,33,33,30,9,17,61,1.8,1016,34,10,132,6,Mississippi
2011-08-18,34,27,0.0,11.6,8,67,10:03 PM,10:43 AM,06:24 AM,07:35 PM,22,34,34,30,9,12,64,0.0,1014,34,10,194,6,Mississippi
2011-08-19,33,27,0.0,11.6,7,60,10:38 PM,11:37 AM,06:25 AM,07:34 PM,23,34,34,30,12,25,68,0.5,1012,33,10,217,8,Mississippi
2011-08-20,33,27,0.0,11.6,7,53,11:17 PM,12:31 PM,06:26 AM,07:33 PM,24,35,35,30,12,8,69,3.7,1013,33,10,193,8,Mississippi
2011-08-21,36,28,0.0,11.6,7,46,12:00 AM,01:26 PM,06:26 AM,07:32 PM,24,36,36,30,10,14,71,7.7,1015,36,9,215,7,Mississippi
2011-08-22,36,28,0.0,11.6,7,38,No moonrise,02:20 PM,06:27 AM,07:31 PM,24,36,36,30,9,14,70,2.8,1015,36,10,172,6,Mississippi
2011-08-23,37,26,0.0,11.6,7,31,12:48 AM,03:13 PM,06:27 AM,07:30 PM,24,36,36,30,12,15,72,3.8,1013,37,10,234,8,Mississippi
2011-08-24,36,27,0.0,11.6,7,24,01:42 AM,04:04 PM,06:28 AM,07:29 PM,24,35,35,30,9,14,70,8.8,1012,36,9,70,6,Mississippi
2011-08-25,34,26,0.0,11.6,7,16,02:41 AM,04:51 PM,06:29 AM,07:28 PM,23,34,34,30,12,17,68,7.3,1012,34,9,149,8,Mississippi
2011-08-26,37,26,0.0,11.6,7,9,03:44 AM,05:36 PM,06:29 AM,07:26 PM,23,35,35,31,17,13,62,1.6,1011,37,10,258,10,Mississippi
2011-08-27,35,26,0.0,11.6,8,2,04:49 AM,06:17 PM,06:30 AM,07:25 PM,20,33,33,30,20,6,56,0.2,1009,35,10,325,12,Mississippi
2011-08-28,35,24,0.0,11.6,8,0,05:56 AM,06:56 PM,06:30 AM,07:24 PM,18,31,31,29,17,2,52,0.0,1007,35,10,167,10,Mississippi
2011-08-29,36,25,0.0,11.6,8,0,07:03 AM,07:35 PM,06:31 AM,07:23 PM,20,33,33,30,14,2,54,0.0,1009,36,10,48,8,Mississippi
2011-08-30,35,25,0.0,11.6,8,5,08:11 AM,08:13 PM,06:31 AM,07:22 PM,19,32,32,30,14,5,55,0.0,1012,35,10,108,9,Mississippi
2011-08-31,34,26,0.0,11.6,8,9,09:19 AM,08:53 PM,06:32 AM,07:21 PM,22,33,33,30,15,6,64,0.0,1014,34,10,106,11,Mississippi
2011-09-01,31,28,0.0,9.0,6,20,10:27 AM,09:37 PM,06:33 AM,07:19 PM,23,33,33,29,34,42,72,13.8,1015,31,8,102,22,Mississippi
2011-09-02,29,26,0.0,7.7,6,28,11:36 AM,10:24 PM,06:33 AM,07:18 PM,23,30,30,27,37,52,78,41.3,1012,29,7,96,23,Mississippi
2011-09-03,27,26,0.0,7.7,6,36,12:42 PM,11:16 PM,06:34 AM,07:17 PM,24,30,30,26,62,86,89,213.1,1004,27,3,118,33,Mississippi
2011-09-04,30,27,0.0,11.6,6,43,01:44 PM,No moonset,06:34 AM,07:16 PM,24,32,32,27,53,43,84,91.8,1002,30,5,156,29,Mississippi
2011-09-05,27,20,0.0,7.7,5,51,02:40 PM,12:11 AM,06:35 AM,07:15 PM,21,27,27,24,48,64,82,47.8,1002,27,6,254,29,Mississippi
2011-09-06,26,16,0.0,11.6,6,58,03:31 PM,01:10 AM,06:35 AM,07:13 PM,13,21,21,21,23,1,62,0.0,1012,26,10,341,16,Mississippi
2011-09-07,27,17,0.0,11.6,6,66,04:15 PM,02:09 AM,06:36 AM,07:12 PM,13,23,23,22,19,0,59,0.0,1016,27,10,102,12,Mississippi
2011-09-08,27,18,0.0,11.6,6,73,04:54 PM,03:08 AM,06:36 AM,07:11 PM,14,23,23,22,15,3,59,0.0,1016,27,10,134,10,Mississippi
2011-09-09,31,19,0.0,11.6,7,81,05:30 PM,04:06 AM,06:37 AM,07:10 PM,15,25,25,24,11,0,58,0.0,1015,31,10,134,6,Mississippi
2011-09-10,32,20,0.0,11.6,7,88,06:02 PM,05:02 AM,06:38 AM,07:08 PM,15,26,26,25,11,0,54,0.0,1016,32,10,102,6,Mississippi
2011-09-11,32,21,0.0,11.6,7,96,06:32 PM,05:56 AM,06:38 AM,07:07 PM,16,27,27,26,12,2,56,0.0,1018,32,10,252,7,Mississippi
2011-09-12,32,22,0.0,11.6,7,100,07:02 PM,06:50 AM,06:39 AM,07:06 PM,18,28,28,27,14,11,60,0.0,1019,32,10,246,8,Mississippi
2011-09-13,32,23,0.0,11.6,7,89,07:33 PM,07:43 AM,06:39 AM,07:04 PM,19,29,29,27,17,10,62,0.0,1016,32,10,233,10,Mississippi
2011-09-14,32,24,0.0,11.6,7,81,08:04 PM,08:36 AM,06:40 AM,07:03 PM,20,30,30,27,17,11,67,0.5,1014,32,10,227,10,Mississippi
