date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,32,24,0.0,11.6,6,24,01:58 AM,03:28 PM,06:23 AM,08:26 PM,23,32,32,28,19,32,77,0.2,1011,32,8,164,13,Missouri
2011-06-26,33,25,0.0,11.6,7,17,02:33 AM,04:22 PM,06:24 AM,08:26 PM,24,33,33,29,19,13,75,0.0,1013,33,8,169,13,Missouri
2011-06-27,33,24,0.0,9.3,7,9,03:12 AM,05:19 PM,06:24 AM,08:26 PM,24,34,34,29,14,43,75,0.2,1014,33,9,176,9,Missouri
2011-06-28,34,25,0.0,10.5,7,2,03:56 AM,06:14 PM,06:24 AM,08:26 PM,24,34,34,29,14,28,76,1.4,1016,34,8,149,10,Missouri
2011-06-29,35,25,0.0,11.6,7,0,04:46 AM,07:09 PM,06:25 AM,08:26 PM,23,33,33,29,12,14,74,0.1,1015,35,8,154,8,Missouri
2011-06-30,35,25,0.0,11.6,7,0,05:41 AM,08:01 PM,06:25 AM,08:26 PM,22,33,33,29,13,19,69,0.0,1014,35,9,130,9,Missouri
2011-07-01,35,24,0.0,11.6,7,0,06:40 AM,08:49 PM,06:25 AM,08:26 PM,23,33,33,29,12,20,72,0.0,1015,35,8,151,9,Missouri
2011-07-02,38,24,0.0,11.6,7,6,07:43 AM,09:34 PM,06:26 AM,08:26 PM,23,35,35,30,12,12,71,0.0,1016,38,8,222,8,Missouri
2011-07-03,37,24,0.0,11.6,8,13,08:47 AM,10:14 PM,06:26 AM,08:26 PM,22,33,33,30,14,22,67,0.1,1014,37,10,216,9,Missouri
2011-07-04,35,24,0.0,11.6,8,20,09:51 AM,10:52 PM,06:26 AM,08:26 PM,22,32,32,29,14,7,69,0.0,1014,35,10,197,9,Missouri
2011-07-05,36,24,0.0,11.6,8,27,10:55 AM,11:29 PM,06:27 AM,08:26 PM,22,33,33,29,12,9,69,0.0,1014,36,10,173,8,Missouri
2011-07-06,35,25,0.0,11.6,7,35,11:59 AM,No moonset,06:27 AM,08:26 PM,23,33,33,29,11,13,72,1.0,1014,35,9,198,8,Missouri
2011-07-07,35,24,0.0,11.6,8,42,01:02 PM,12:05 AM,06:28 AM,08:26 PM,23,33,33,29,13,9,71,0.0,1013,35,10,202,9,Missouri
2011-07-08,36,25,0.0,11.6,8,49,02:07 PM,12:43 AM,06:28 AM,08:26 PM,23,34,34,30,15,11,71,0.1,1011,36,10,214,10,Missouri
2011-07-09,35,25,0.0,11.6,7,56,03:13 PM,01:23 AM,06:29 AM,08:25 PM,23,34,34,29,16,16,72,2.3,1012,35,10,193,11,Missouri
2011-07-10,34,25,0.0,11.6,7,64,04:18 PM,02:08 AM,06:29 AM,08:25 PM,24,34,34,29,15,22,75,2.0,1014,34,9,173,11,Missouri
2011-07-11,35,25,0.0,11.6,7,71,05:22 PM,02:57 AM,06:30 AM,08:25 PM,24,34,34,29,15,22,75,2.1,1015,35,8,179,10,Missouri
2011-07-12,34,25,0.0,11.6,7,78,06:21 PM,03:52 AM,06:30 AM,08:25 PM,24,35,35,29,15,20,76,4.7,1014,34,9,199,10,Missouri
2011-07-13,35,25,0.0,11.6,7,86,07:15 PM,04:51 AM,06:31 AM,08:24 PM,24,35,35,29,15,14,75,3.1,1013,35,10,206,10,Missouri
2011-07-14,35,25,0.0,11.6,7,93,08:02 PM,05:52 AM,06:31 AM,08:24 PM,24,34,34,29,16,24,76,2.5,1011,35,8,212,11,Missouri
2011-07-15,34,25,0.0,11.6,7,100,08:44 PM,06:53 AM,06:32 AM,08:24 PM,24,33,33,29,15,43,76,0.3,1010,34,9,216,10,Missouri
2011-07-16,34,25,0.0,10.4,6,100,09:21 PM,07:53 AM,06:32 AM,08:23 PM,24,32,32,28,14,41,81,9.3,1012,34,9,184,9,Missouri
2011-07-17,35,25,0.0,11.6,7,85,09:55 PM,08:50 AM,06:33 AM,08:23 PM,23,33,33,29,12,17,73,0.0,1015,35,8,195,8,Missouri
2011-07-18,35,24,0.0,11.6,8,78,10:26 PM,09:46 AM,06:33 AM,08:23 PM,23,33,33,29,12,32,70,1.3,1015,35,10,228,8,Missouri
2011-07-19,32,24,0.0,9.3,6,71,10:56 PM,10:39 AM,06:34 AM,08:22 PM,24,32,32,28,11,48,80,1.4,1013,32,9,228,7,Missouri
2011-07-20,34,25,0.0,11.6,7,64,11:26 PM,11:32 AM,06:35 AM,08:22 PM,24,33,33,29,15,17,77,6.7,1013,34,8,180,10,Missouri
2011-07-21,34,25,0.0,11.6,7,56,11:58 PM,12:24 PM,06:35 AM,08:21 PM,24,33,33,29,15,16,75,0.0,1012,34,9,184,10,Missouri
2011-07-22,33,25,0.0,11.6,7,49,No moonrise,01:18 PM,06:36 AM,08:21 PM,25,34,34,29,17,29,79,5.2,1013,33,9,185,12,Missouri
2011-07-23,31,26,0.0,11.6,6,42,12:31 AM,02:12 PM,06:36 AM,08:20 PM,25,32,32,27,18,27,88,0.0,1015,31,5,176,11,Missouri
2011-07-24,35,25,0.0,10.4,7,34,01:08 AM,03:07 PM,06:37 AM,08:20 PM,24,34,34,29,16,34,77,2.6,1017,35,7,209,11,Missouri
