date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,22,12,0.0,15.6,4,24,01:34 AM,03:38 PM,05:48 AM,09:12 PM,12,17,18,17,28,22,72,1.9,1015,22,10,290,18,Montana
2011-06-26,21,10,0.0,15.6,5,17,02:01 AM,04:39 PM,05:48 AM,09:12 PM,8,15,15,15,22,10,62,0.2,1018,21,10,295,14,Montana
2011-06-27,24,13,0.0,14.6,5,9,02:32 AM,05:41 PM,05:48 AM,09:12 PM,13,18,19,18,11,55,72,1.4,1014,24,9,235,7,Montana
2011-06-28,20,11,0.0,15.6,4,2,03:09 AM,06:40 PM,05:49 AM,09:12 PM,9,15,16,15,28,29,68,2.7,1011,20,10,279,18,Montana
2011-06-29,21,11,0.0,15.6,4,0,03:53 AM,07:38 PM,05:49 AM,09:12 PM,12,15,16,15,23,40,80,3.2,1009,21,10,270,15,Montana
2011-06-30,24,11,0.0,15.6,5,0,04:46 AM,08:29 PM,05:50 AM,09:12 PM,14,18,18,18,20,34,79,4.8,1009,24,10,258,12,Montana
2011-07-01,20,13,0.0,15.5,4,0,05:47 AM,09:14 PM,05:50 AM,09:12 PM,12,14,15,14,29,51,83,4.0,1011,20,9,273,18,Montana
2011-07-02,21,10,0.0,15.6,5,6,06:54 AM,09:54 PM,05:51 AM,09:12 PM,9,15,15,15,19,19,69,0.1,1012,21,10,281,12,Montana
2011-07-03,21,8,0.0,15.5,3,13,08:05 AM,10:27 PM,05:51 AM,09:11 PM,9,12,12,12,9,46,82,42.0,1012,21,8,188,6,Montana
2011-07-04,24,11,0.0,15.6,6,20,09:18 AM,10:57 PM,05:52 AM,09:11 PM,11,17,18,17,18,21,68,0.2,1012,24,10,261,11,Montana
2011-07-05,24,12,0.0,15.6,5,27,10:30 AM,11:26 PM,05:52 AM,09:11 PM,13,19,20,19,12,27,70,4.0,1011,24,9,268,7,Montana
2011-07-06,25,13,0.0,15.6,5,35,11:43 AM,11:53 PM,05:53 AM,09:11 PM,12,18,19,18,21,25,70,1.5,1010,25,10,276,13,Montana
2011-07-07,28,13,0.0,15.6,6,42,12:56 PM,No moonset,05:54 AM,09:10 PM,13,20,20,20,16,11,66,0.0,1014,28,10,260,10,Montana
2011-07-08,31,14,0.0,15.6,7,49,02:09 PM,12:21 AM,05:54 AM,09:10 PM,15,23,23,23,7,2,64,0.0,1016,31,10,164,4,Montana
2011-07-09,32,14,0.0,15.5,7,56,03:24 PM,12:52 AM,05:55 AM,09:09 PM,16,25,25,24,11,0,64,0.0,1019,32,10,125,6,Montana
2011-07-10,31,17,0.0,15.5,7,64,04:36 PM,01:27 AM,05:56 AM,09:09 PM,16,25,25,24,13,2,62,0.0,1018,31,10,140,8,Montana
2011-07-11,32,17,0.0,15.5,7,71,05:46 PM,02:09 AM,05:57 AM,09:08 PM,17,26,26,25,13,3,65,0.0,1015,32,10,122,8,Montana
2011-07-12,30,17,0.0,15.5,6,78,06:48 PM,02:58 AM,05:57 AM,09:08 PM,16,24,24,23,9,7,68,1.9,1015,30,10,286,6,Montana
2011-07-13,29,16,0.0,15.5,7,86,07:43 PM,03:55 AM,05:58 AM,09:07 PM,15,24,24,23,12,1,62,0.0,1014,29,10,149,7,Montana
2011-07-14,30,16,0.0,15.5,7,93,08:27 PM,04:58 AM,05:59 AM,09:07 PM,16,24,24,23,13,0,68,0.0,1014,30,10,114,8,Montana
2011-07-15,31,18,0.0,15.1,7,100,09:05 PM,06:05 AM,06:00 AM,09:06 PM,17,25,25,24,14,0,66,0.0,1015,31,10,123,8,Montana
