date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,19,13,0.0,10.6,4,24,01:01 AM,01:37 PM,05:49 AM,06:21 PM,14,15,15,15,6,78,94,15.0,1012,19,6,146,3,Nevada
2011-06-26,19,13,0.0,10.6,4,17,01:43 AM,02:24 PM,05:49 AM,06:21 PM,15,16,17,16,8,69,92,35.2,1011,19,5,92,5,Nevada
2011-06-27,22,13,0.0,9.3,4,9,02:28 AM,03:15 PM,05:49 AM,06:21 PM,14,17,17,17,8,66,86,4.0,1011,22,5,131,5,Nevada
2011-06-28,22,11,0.0,12.7,4,2,03:17 AM,04:07 PM,05:50 AM,06:22 PM,12,16,16,16,8,31,82,12.0,1010,22,8,124,5,Nevada
2011-06-29,19,12,0.0,10.6,4,0,04:09 AM,05:01 PM,05:50 AM,06:22 PM,14,15,15,15,6,54,93,36.6,1010,19,6,105,3,Nevada
2011-06-30,17,12,0.0,9.3,4,0,05:03 AM,05:55 PM,05:50 AM,06:22 PM,14,15,14,15,4,71,97,30.6,1010,17,8,142,3,Nevada
2011-07-01,18,12,0.0,12.7,4,0,05:59 AM,06:48 PM,05:50 AM,06:22 PM,14,15,14,15,5,71,96,32.7,1011,18,7,101,3,Nevada
2011-07-02,18,13,0.0,11.9,4,6,06:56 AM,07:41 PM,05:51 AM,06:22 PM,14,15,15,15,5,63,96,34.2,1011,18,6,119,3,Nevada
2011-07-03,21,12,0.0,12.7,4,13,07:51 AM,08:30 PM,05:51 AM,06:22 PM,13,16,16,16,7,58,85,8.3,1010,21,8,88,4,Nevada
2011-07-04,20,13,0.0,12.7,4,20,08:45 AM,09:18 PM,05:51 AM,06:23 PM,13,16,15,16,8,51,87,25.6,1010,20,6,101,5,Nevada
2011-07-05,22,9,0.0,12.7,4,27,09:39 AM,10:05 PM,05:51 AM,06:23 PM,12,16,16,16,8,42,83,16.6,1010,22,9,106,5,Nevada
2011-07-06,22,12,0.0,12.7,4,35,10:31 AM,10:52 PM,05:52 AM,06:23 PM,13,16,16,16,9,39,86,19.4,1010,22,8,102,5,Nevada
2011-07-07,19,12,0.0,12.7,4,42,11:25 AM,11:40 PM,05:52 AM,06:23 PM,13,14,14,14,9,59,91,12.8,1011,19,7,126,5,Nevada
2011-07-08,24,11,0.0,12.7,4,49,12:19 PM,No moonset,05:52 AM,06:23 PM,10,16,16,16,11,12,72,0.0,1009,24,8,112,7,Nevada
2011-07-09,24,11,0.0,12.7,4,56,01:16 PM,12:29 AM,05:52 AM,06:23 PM,10,16,16,16,8,13,73,2.3,1009,24,10,99,5,Nevada
2011-07-10,21,10,0.0,12.7,4,64,02:14 PM,01:23 AM,05:52 AM,06:23 PM,13,15,15,15,7,28,88,23.7,1010,21,7,99,4,Nevada
2011-07-11,21,11,0.0,12.7,4,71,03:13 PM,02:18 AM,05:53 AM,06:23 PM,12,15,15,15,8,29,86,22.8,1011,21,7,104,5,Nevada
2011-07-12,20,12,0.0,12.7,4,78,04:12 PM,03:16 AM,05:53 AM,06:23 PM,12,15,15,15,8,58,88,26.4,1013,20,8,90,5,Nevada
2011-07-13,19,11,0.0,11.9,4,86,05:09 PM,04:13 AM,05:53 AM,06:23 PM,13,14,14,14,5,66,93,33.7,1013,19,7,162,3,Nevada
2011-07-14,16,12,0.0,9.3,3,93,06:02 PM,05:11 AM,05:53 AM,06:23 PM,13,14,14,14,4,83,99,32.5,1013,16,7,219,3,Nevada
2011-07-15,16,9,0.0,10.6,3,100,06:51 PM,06:06 AM,05:53 AM,06:23 PM,12,12,12,12,5,84,98,56.8,1014,16,6,259,3,Nevada
2011-07-16,19,8,0.0,12.7,4,100,07:37 PM,06:57 AM,05:54 AM,06:23 PM,12,13,13,13,7,48,91,24.6,1012,19,6,142,4,Nevada
2011-07-17,19,10,0.0,11.9,4,85,08:19 PM,07:46 AM,05:54 AM,06:23 PM,13,14,14,14,8,57,94,37.3,1011,19,7,102,4,Nevada
2011-07-18,19,12,0.0,11.9,4,78,08:59 PM,08:32 AM,05:54 AM,06:23 PM,13,15,15,15,7,67,91,39.9,1012,19,5,108,4,Nevada
2011-07-19,20,12,0.0,12.7,4,71,09:38 PM,09:17 AM,05:54 AM,06:23 PM,13,15,15,15,8,50,88,25.6,1011,20,6,103,5,Nevada
2011-07-20,20,11,0.0,12.7,4,64,10:17 PM,10:01 AM,05:54 AM,06:23 PM,13,15,15,15,9,41,88,32.0,1010,20,5,108,5,Nevada
2011-07-21,22,11,0.0,12.7,4,56,10:57 PM,10:45 AM,05:55 AM,06:23 PM,13,16,17,16,9,42,85,19.5,1009,22,7,104,5,Nevada
2011-07-22,22,11,0.0,12.7,4,49,11:38 PM,11:30 AM,05:55 AM,06:23 PM,13,17,17,17,11,23,83,23.3,1009,22,8,129,6,Nevada
2011-07-23,15,11,0.0,11.9,3,42,No moonrise,12:16 PM,05:55 AM,06:23 PM,12,13,13,13,10,43,95,10.4,1011,15,6,136,5,Nevada
2011-07-24,23,11,0.0,12.7,4,34,12:21 AM,01:05 PM,05:55 AM,06:23 PM,12,15,16,15,9,38,83,26.3,1010,23,6,112,5,Nevada
2011-07-25,23,10,0.0,12.7,4,27,01:08 AM,01:56 PM,05:55 AM,06:23 PM,11,15,16,15,10,21,81,13.6,1009,23,9,115,6,Nevada
2011-07-26,20,11,0.0,12.7,4,20,01:58 AM,02:49 PM,05:55 AM,06:22 PM,13,15,15,15,9,47,89,25.0,1009,20,7,115,5,Nevada
2011-07-27,21,10,0.0,12.7,4,13,02:51 AM,03:43 PM,05:55 AM,06:22 PM,12,15,15,15,7,44,87,26.8,1010,21,7,102,4,Nevada
2011-07-28,19,11,0.0,11.9,4,5,03:47 AM,04:37 PM,05:56 AM,06:22 PM,13,14,14,14,7,66,92,25.6,1010,19,5,230,4,Nevada
2011-07-29,16,11,0.0,9.2,3,0,04:43 AM,05:30 PM,05:56 AM,06:22 PM,13,13,13,13,7,82,98,54.5,1012,16,7,255,4,Nevada
2011-07-30,18,11,0.0,12.7,3,0,05:40 AM,06:22 PM,05:56 AM,06:22 PM,13,14,14,14,8,62,95,29.6,1012,18,6,170,5,Nevada
2011-07-31,18,12,0.0,11.9,4,0,06:36 AM,07:12 PM,05:56 AM,06:22 PM,14,14,14,14,5,56,96,42.4,1012,18,7,98,3,Nevada
2011-08-01,20,12,0.0,11.9,4,9,07:31 AM,08:01 PM,05:56 AM,06:21 PM,14,15,15,15,4,57,93,58.5,1011,20,6,176,2,Nevada
2011-08-02,20,13,0.0,11.9,4,16,08:25 AM,08:49 PM,05:56 AM,06:21 PM,15,16,16,16,7,63,92,38.3,1010,20,7,134,4,Nevada
2011-08-03,18,12,0.0,10.5,4,24,09:20 AM,09:38 PM,05:56 AM,06:21 PM,14,15,15,15,5,74,96,16.5,1010,18,6,148,3,Nevada
2011-08-04,21,13,0.0,11.9,4,31,10:15 AM,10:27 PM,05:56 AM,06:21 PM,14,16,16,16,9,68,90,15.1,1011,21,6,81,5,Nevada
2011-08-05,21,13,0.0,11.9,4,38,11:12 AM,11:20 PM,05:56 AM,06:21 PM,14,16,16,16,8,66,89,4.9,1011,21,5,96,5,Nevada
2011-08-06,24,12,0.0,12.6,4,45,12:09 PM,No moonset,05:56 AM,06:20 PM,12,17,17,17,8,44,78,3.3,1010,24,6,107,5,Nevada
2011-08-07,22,11,0.0,12.6,4,53,01:08 PM,12:14 AM,05:56 AM,06:20 PM,11,15,16,15,10,37,78,17.3,1011,22,7,116,6,Nevada
2011-08-08,24,9,0.0,12.6,4,60,02:05 PM,01:10 AM,05:56 AM,06:20 PM,10,16,16,16,9,37,77,0.0,1012,24,6,105,6,Nevada
2011-08-09,22,9,0.0,12.6,4,67,03:02 PM,02:07 AM,05:56 AM,06:19 PM,11,15,16,15,8,56,82,11.8,1011,22,5,98,5,Nevada
2011-08-10,21,10,0.0,12.6,4,74,03:55 PM,03:03 AM,05:56 AM,06:19 PM,11,15,16,15,9,42,82,7.3,1010,21,6,82,6,Nevada
2011-08-11,21,11,0.0,12.6,4,82,04:45 PM,03:58 AM,05:56 AM,06:19 PM,13,15,15,15,9,45,87,9.0,1010,21,7,102,5,Nevada
2011-08-12,17,10,0.0,7.9,4,89,05:32 PM,04:50 AM,05:56 AM,06:18 PM,13,14,14,14,6,78,96,19.7,1011,17,5,117,4,Nevada
2011-08-13,19,11,0.0,10.5,4,96,06:15 PM,05:40 AM,05:56 AM,06:18 PM,13,15,15,15,8,68,90,16.4,1011,19,6,100,4,Nevada
2011-08-14,20,11,0.0,12.6,4,100,06:56 PM,06:27 AM,05:56 AM,06:18 PM,14,15,15,15,5,65,94,28.6,1010,20,5,158,3,Nevada
2011-08-15,20,11,0.0,12.6,4,89,07:36 PM,07:12 AM,05:56 AM,06:17 PM,13,15,15,15,8,63,90,34.3,1011,20,4,99,5,Nevada
2011-08-16,17,12,0.0,9.2,4,82,08:14 PM,07:56 AM,05:56 AM,06:17 PM,14,14,14,14,5,81,97,39.9,1012,17,7,130,3,Nevada
2011-08-17,19,12,0.0,10.5,4,75,08:54 PM,08:40 AM,05:56 AM,06:17 PM,15,15,15,15,5,75,95,41.7,1012,19,7,138,3,Nevada
2011-08-18,20,11,0.0,10.5,4,67,09:34 PM,09:25 AM,05:56 AM,06:16 PM,14,16,16,16,7,68,93,33.1,1011,20,7,149,4,Nevada
2011-08-19,20,12,0.0,9.2,4,60,10:16 PM,10:10 AM,05:56 AM,06:16 PM,14,15,15,15,5,83,97,22.1,1011,20,5,201,3,Nevada
