date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,23,11,0.0,12.5,4,24,01:00 AM,03:12 PM,05:08 AM,08:29 PM,13,15,16,15,9,71,88,2.2,1010,23,8,90,6,03102
2011-06-26,27,12,0.0,14.5,5,17,01:29 AM,04:13 PM,05:09 AM,08:29 PM,15,20,20,20,11,44,78,1.4,1012,27,7,220,7,03102
2011-06-27,24,14,0.0,12.5,5,9,02:01 AM,05:14 PM,05:09 AM,08:29 PM,15,19,20,19,13,53,79,0.0,1013,24,8,197,9,03102
2011-06-28,29,15,0.0,13.5,5,2,02:40 AM,06:13 PM,05:09 AM,08:29 PM,18,23,23,22,10,42,80,1.2,1013,29,8,150,6,03102
2011-06-29,28,16,0.0,14.5,5,0,03:27 AM,07:09 PM,05:10 AM,08:29 PM,16,22,22,22,18,35,75,5.4,1009,28,10,250,12,03102
2011-06-30,25,15,0.0,13.5,5,0,04:22 AM,07:59 PM,05:10 AM,08:29 PM,14,20,20,19,20,33,71,0.2,1011,25,10,290,13,03102
2011-07-01,25,14,0.0,14.5,5,0,05:25 AM,08:43 PM,05:11 AM,08:29 PM,15,20,20,19,11,22,77,0.8,1015,25,8,285,7,03102
2011-07-02,27,14,0.0,14.5,5,6,06:32 AM,09:21 PM,05:11 AM,08:29 PM,16,21,21,20,12,22,81,1.0,1017,27,8,168,7,03102
2011-07-03,26,16,0.0,12.5,5,13,07:44 AM,09:54 PM,05:12 AM,08:28 PM,19,22,22,21,13,56,88,1.6,1011,26,7,207,8,03102
2011-07-04,31,17,0.0,14.5,6,20,08:56 AM,10:23 PM,05:12 AM,08:28 PM,20,25,25,23,11,29,84,4.4,1009,31,8,259,6,03102
2011-07-05,31,16,0.0,14.5,7,27,10:08 AM,10:51 PM,05:13 AM,08:28 PM,16,24,24,24,10,14,67,0.5,1011,31,10,283,6,03102
2011-07-06,31,17,0.0,14.5,7,35,11:21 AM,11:20 PM,05:14 AM,08:27 PM,16,25,25,24,17,10,64,0.0,1011,31,10,264,11,03102
2011-07-07,28,16,0.0,14.5,6,42,12:34 PM,11:49 PM,05:14 AM,08:27 PM,15,22,22,22,13,9,67,0.0,1012,28,10,268,9,03102
2011-07-08,23,15,0.0,10.5,5,49,01:47 PM,No moonset,05:15 AM,08:27 PM,17,19,20,19,9,63,88,8.2,1012,23,10,95,6,03102
2011-07-09,28,16,0.0,14.5,5,56,03:00 PM,12:20 AM,05:16 AM,08:26 PM,15,21,21,21,18,29,72,3.7,1009,28,9,322,12,03102
2011-07-10,28,14,0.0,14.5,6,64,04:12 PM,12:58 AM,05:17 AM,08:26 PM,13,21,21,21,12,10,64,0.0,1016,28,10,276,7,03102
2011-07-11,32,17,0.0,14.5,7,71,05:20 PM,01:42 AM,05:17 AM,08:25 PM,18,26,26,25,16,17,70,0.1,1011,32,10,228,10,03102
2011-07-12,32,22,0.0,14.5,6,78,06:20 PM,02:32 AM,05:18 AM,08:25 PM,21,29,29,26,18,27,77,6.1,1003,32,9,265,11,03102
2011-07-13,27,15,0.0,14.5,5,86,07:13 PM,03:32 AM,05:19 AM,08:24 PM,18,22,22,22,16,17,79,11.6,1006,27,9,275,10,03102
2011-07-14,25,12,0.0,14.5,6,93,07:56 PM,04:36 AM,05:20 AM,08:24 PM,12,18,19,18,14,16,70,7.7,1014,25,8,173,8,03102
2011-07-15,28,13,0.0,14.5,6,100,08:31 PM,05:43 AM,05:21 AM,08:23 PM,13,20,20,20,15,11,65,0.0,1017,28,10,238,9,03102
2011-07-16,31,16,0.0,14.5,7,100,09:02 PM,06:49 AM,05:21 AM,08:22 PM,14,23,23,22,10,7,63,0.0,1019,31,10,275,6,03102
