date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,25,17,0.0,14.5,5,24,01:14 AM,03:18 PM,05:26 AM,08:31 PM,19,22,22,21,13,27,88,6.1,1010,25,8,181,8,New+York
2011-06-26,26,17,0.0,14.5,6,17,01:44 AM,04:17 PM,05:27 AM,08:31 PM,18,22,22,21,14,20,80,0.5,1013,26,10,251,9,New+York
2011-06-27,25,18,0.0,12.5,5,9,02:18 AM,05:17 PM,05:27 AM,08:31 PM,18,23,23,22,18,52,77,1.2,1013,25,9,208,12,New+York
2011-06-28,27,20,0.0,14.5,7,2,02:58 AM,06:16 PM,05:27 AM,08:31 PM,21,25,25,23,13,36,86,7.5,1012,27,10,201,8,New+York
2011-06-29,25,19,0.0,14.5,6,0,03:45 AM,07:11 PM,05:28 AM,08:31 PM,18,24,24,22,19,16,80,9.0,1012,25,9,291,12,New+York
2011-06-30,26,17,0.0,14.5,6,0,04:40 AM,08:02 PM,05:28 AM,08:31 PM,16,22,22,22,17,5,73,0.0,1014,26,10,296,11,New+York
2011-07-01,27,17,0.0,14.5,6,0,05:42 AM,08:46 PM,05:29 AM,08:31 PM,15,23,23,22,8,17,66,0.2,1015,27,10,260,5,New+York
2011-07-02,27,18,0.0,14.5,7,6,06:49 AM,09:26 PM,05:29 AM,08:31 PM,19,24,24,23,12,17,78,0.1,1017,27,10,189,8,New+York
2011-07-03,25,20,0.0,10.4,5,13,07:59 AM,10:00 PM,05:30 AM,08:31 PM,21,24,24,22,12,57,91,40.9,1012,25,6,221,7,New+York
2011-07-04,29,20,0.0,14.5,7,20,09:10 AM,10:32 PM,05:30 AM,08:30 PM,20,26,26,24,14,11,77,0.2,1011,29,9,294,8,New+York
2011-07-05,32,20,0.0,14.5,7,27,10:20 AM,11:02 PM,05:31 AM,08:30 PM,18,26,26,25,13,1,67,0.0,1013,32,10,273,9,New+York
2011-07-06,28,20,0.0,14.5,7,35,11:31 AM,11:31 PM,05:31 AM,08:30 PM,21,27,27,25,18,5,79,2.3,1013,28,10,222,10,New+York
2011-07-07,30,21,0.0,14.5,6,42,12:42 PM,No moonset,05:32 AM,08:30 PM,22,27,27,25,14,21,83,12.6,1012,30,8,236,8,New+York
2011-07-08,27,21,0.0,12.4,5,49,01:54 PM,12:02 AM,05:33 AM,08:29 PM,22,26,26,23,10,54,90,28.1,1011,27,8,93,6,New+York
2011-07-09,30,20,0.0,14.5,7,56,03:05 PM,12:35 AM,05:33 AM,08:29 PM,19,25,25,24,16,12,75,13.7,1011,30,9,283,10,New+York
2011-07-10,27,18,0.0,14.5,6,64,04:16 PM,01:14 AM,05:34 AM,08:28 PM,18,24,24,23,14,16,76,0.0,1017,27,9,113,9,New+York
2011-07-11,29,21,0.0,14.5,7,71,05:23 PM,01:59 AM,05:35 AM,08:28 PM,22,28,28,25,21,8,84,0.0,1013,29,9,220,13,New+York
2011-07-12,31,23,0.0,14.5,7,78,06:23 PM,02:51 AM,05:35 AM,08:28 PM,22,29,29,26,25,18,77,1.3,1006,31,10,280,14,New+York
2011-07-13,28,20,0.0,14.5,6,86,07:16 PM,03:50 AM,05:36 AM,08:27 PM,17,26,26,24,24,10,65,0.2,1008,28,10,307,14,New+York
2011-07-14,26,17,0.0,14.5,6,93,08:00 PM,04:53 AM,05:37 AM,08:26 PM,14,22,22,21,20,7,68,0.0,1015,26,10,155,14,New+York
2011-07-15,28,17,0.0,14.5,6,100,08:36 PM,05:59 AM,05:38 AM,08:26 PM,17,23,23,22,18,15,75,0.4,1018,28,10,240,11,New+York
2011-07-16,29,18,0.0,14.5,7,100,09:08 PM,07:04 AM,05:39 AM,08:25 PM,19,25,25,24,17,9,75,2.2,1020,29,10,243,9,New+York
2011-07-17,28,19,0.0,14.5,7,85,09:36 PM,08:08 AM,05:39 AM,08:25 PM,19,25,25,24,22,2,76,0.0,1020,28,10,231,14,New+York
2011-07-18,30,21,0.0,14.5,6,78,10:01 PM,09:09 AM,05:40 AM,08:24 PM,21,28,28,25,23,16,80,2.8,1013,30,10,242,14,New+York
2011-07-19,30,22,0.0,14.5,6,71,10:26 PM,10:09 AM,05:41 AM,08:23 PM,23,29,29,26,9,22,84,10.7,1009,30,8,177,6,New+York
2011-07-20,29,22,0.0,14.5,7,64,10:50 PM,11:08 AM,05:42 AM,08:23 PM,22,28,28,25,13,13,85,0.7,1012,29,7,165,9,New+York
2011-07-21,31,22,0.0,13.4,7,56,11:16 PM,12:06 PM,05:43 AM,08:22 PM,24,31,31,26,26,36,87,0.1,1009,31,8,214,15,New+York
2011-07-22,35,25,0.0,14.5,7,49,11:44 PM,01:05 PM,05:43 AM,08:21 PM,25,36,36,30,15,9,76,1.3,1010,35,10,257,8,New+York
2011-07-23,28,27,0.0,14.5,7,42,No moonrise,02:04 PM,05:44 AM,08:20 PM,24,32,32,28,11,8,77,0.0,1012,28,10,290,6,New+York
2011-07-24,31,24,0.0,13.4,6,34,12:15 AM,03:04 PM,05:45 AM,08:19 PM,23,30,30,27,10,24,82,25.5,1012,31,7,209,6,New+York
