date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,31,18,0.0,11.6,7,24,01:44 AM,03:32 PM,06:02 AM,08:38 PM,13,23,23,23,16,6,57,0.0,1012,31,10,213,10,North+Carolina
2011-06-26,34,17,0.0,11.6,7,17,02:15 AM,04:29 PM,06:02 AM,08:39 PM,15,26,26,25,11,11,57,0.0,1014,34,10,153,6,North+Carolina
2011-06-27,31,19,0.0,9.4,6,9,02:52 AM,05:27 PM,06:02 AM,08:39 PM,18,26,26,25,13,46,70,0.7,1014,31,10,182,8,North+Carolina
2011-06-28,36,20,0.0,10.5,7,2,03:34 AM,06:24 PM,06:03 AM,08:39 PM,19,29,29,27,14,30,66,4.7,1014,36,10,228,9,North+Carolina
2011-06-29,33,20,0.0,11.6,6,0,04:21 AM,07:20 PM,06:03 AM,08:39 PM,16,26,26,25,14,25,63,9.6,1014,33,9,298,9,North+Carolina
2011-06-30,31,17,0.0,11.6,7,0,05:17 AM,08:11 PM,06:04 AM,08:39 PM,13,23,23,23,15,6,56,0.0,1016,31,10,113,9,North+Carolina
2011-07-01,32,15,0.0,11.6,7,0,06:17 AM,08:57 PM,06:04 AM,08:39 PM,13,24,24,24,10,4,56,0.0,1016,32,10,68,6,North+Carolina
2011-07-02,36,16,0.0,11.6,8,6,07:23 AM,09:39 PM,06:04 AM,08:39 PM,16,27,27,26,6,4,60,0.0,1017,36,10,196,3,North+Carolina
2011-07-03,35,20,0.0,11.6,7,13,08:29 AM,10:16 PM,06:05 AM,08:38 PM,19,29,29,27,18,16,66,0.8,1015,35,10,239,11,North+Carolina
2011-07-04,34,19,0.0,11.6,6,20,09:38 AM,10:50 PM,06:05 AM,08:38 PM,21,29,29,26,17,28,75,2.9,1013,34,10,228,10,North+Carolina
2011-07-05,33,18,0.0,11.6,7,27,10:45 AM,11:23 PM,06:06 AM,08:38 PM,17,26,26,25,10,11,66,0.5,1014,33,10,251,6,North+Carolina
2011-07-06,32,21,0.0,11.6,6,35,11:53 AM,11:56 PM,06:06 AM,08:38 PM,21,28,28,25,12,26,79,12.2,1015,32,9,205,7,North+Carolina
2011-07-07,34,19,0.0,11.6,7,42,01:00 PM,No moonset,06:07 AM,08:38 PM,19,27,27,26,13,20,70,0.7,1014,34,10,194,7,North+Carolina
2011-07-08,34,22,0.0,11.6,6,49,02:09 PM,12:29 AM,06:07 AM,08:37 PM,22,30,30,27,16,57,78,10.7,1010,34,6,203,10,North+Carolina
