date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,15,-1,0.0,8.7,2,24,12:58 AM,12:20 PM,06:52 AM,05:00 PM,4,7,7,7,7,26,83,0.0,1028,15,4,48,3,Ohio
2011-06-26,15,3,0.0,8.7,3,17,01:52 AM,12:54 PM,06:52 AM,05:01 PM,6,8,8,8,9,56,86,0.0,1028,15,4,196,5,Ohio
2011-06-27,12,1,0.0,7.1,2,9,02:47 AM,01:32 PM,06:52 AM,05:01 PM,3,5,6,5,10,72,86,1.6,1023,12,5,180,6,Ohio
2011-06-28,11,5,0.0,5.5,2,2,03:44 AM,02:14 PM,06:52 AM,05:01 PM,6,7,8,7,12,73,88,0.8,1028,11,6,132,8,Ohio
2011-06-29,10,6,0.0,5.5,2,0,04:40 AM,03:03 PM,06:52 AM,05:02 PM,7,6,8,6,12,80,93,1.7,1033,10,4,114,8,Ohio
2011-06-30,9,6,0.0,5.5,2,0,05:36 AM,03:57 PM,06:52 AM,05:02 PM,6,6,7,6,14,75,91,1.0,1033,9,3,122,9,Ohio
2011-07-01,11,5,0.0,7.1,2,0,06:28 AM,04:56 PM,06:52 AM,05:02 PM,6,6,7,6,9,81,88,0.5,1027,11,4,146,6,Ohio
2011-07-02,14,-0,0.0,8.7,2,6,07:17 AM,05:59 PM,06:52 AM,05:03 PM,3,6,6,6,7,37,84,0.0,1024,14,4,114,4,Ohio
2011-07-03,14,3,0.0,8.7,2,13,08:01 AM,07:03 PM,06:52 AM,05:03 PM,3,6,7,6,11,42,81,0.0,1022,14,5,208,6,Ohio
2011-07-04,15,4,0.0,8.7,3,20,08:41 AM,08:08 PM,06:52 AM,05:04 PM,7,7,9,7,18,63,88,0.9,1018,15,7,317,11,Ohio
2011-07-05,9,3,0.0,8.7,2,27,09:19 AM,09:13 PM,06:52 AM,05:04 PM,3,3,6,3,22,37,83,1.6,1015,9,9,278,15,Ohio
2011-07-06,9,-1,0.0,8.7,1,35,09:55 AM,10:17 PM,06:52 AM,05:04 PM,-0,1,3,1,16,26,80,0.0,1016,9,8,281,10,Ohio
2011-07-07,9,1,0.0,7.1,2,42,10:30 AM,11:22 PM,06:52 AM,05:05 PM,2,2,5,2,18,39,83,0.4,1017,9,10,268,12,Ohio
2011-07-08,9,-1,0.0,8.7,1,49,11:07 AM,No moonset,06:52 AM,05:05 PM,-0,1,3,1,10,43,82,0.0,1024,9,5,275,7,Ohio
2011-07-09,8,-1,0.0,8.7,1,56,11:46 AM,12:26 AM,06:52 AM,05:06 PM,-1,-0,2,-0,14,41,82,0.0,1022,8,4,264,9,Ohio
2011-07-10,8,-1,0.0,8.7,1,64,12:29 PM,01:33 AM,06:51 AM,05:06 PM,0,0,3,0,15,46,84,0.0,1020,8,6,272,10,Ohio
2011-07-11,10,-2,0.1,8.7,2,71,01:18 PM,02:38 AM,06:51 AM,05:07 PM,0,2,4,2,13,27,81,0.3,1021,10,8,261,8,Ohio
2011-07-12,14,-3,0.0,8.7,3,78,02:11 PM,03:43 AM,06:51 AM,05:07 PM,-3,2,3,2,9,1,71,0.0,1023,14,9,264,5,Ohio
2011-07-13,12,-1,0.0,8.7,2,86,03:09 PM,04:43 AM,06:51 AM,05:08 PM,-1,4,5,4,12,39,69,1.4,1022,12,9,285,7,Ohio
2011-07-14,10,2,0.0,8.7,2,93,04:10 PM,05:39 AM,06:50 AM,05:08 PM,1,4,5,4,10,46,82,0.2,1025,10,7,211,6,Ohio
2011-07-15,11,1,0.0,8.7,2,100,05:12 PM,06:27 AM,06:50 AM,05:09 PM,2,3,5,3,12,54,85,0.0,1031,11,4,119,8,Ohio
2011-07-16,7,5,0.0,5.6,2,100,06:12 PM,07:09 AM,06:50 AM,05:10 PM,5,4,6,4,9,93,92,2.2,1028,7,3,92,6,Ohio
2011-07-17,13,2,0.0,8.7,2,85,07:11 PM,07:47 AM,06:49 AM,05:10 PM,5,6,6,6,5,70,92,2.1,1023,13,6,116,3,Ohio
2011-07-18,11,2,0.0,7.1,2,78,08:07 PM,08:20 AM,06:49 AM,05:11 PM,5,5,7,5,10,78,91,0.3,1019,11,4,285,6,Ohio
2011-07-19,5,1,0.1,8.7,1,71,09:02 PM,08:51 AM,06:49 AM,05:11 PM,1,0,3,0,16,60,85,0.7,1016,5,8,262,12,Ohio
2011-07-20,9,3,0.1,4.0,2,64,09:55 PM,09:21 AM,06:48 AM,05:12 PM,5,4,6,4,16,85,94,1.9,1012,9,4,238,11,Ohio
2011-07-21,8,5,0.0,4.0,2,56,10:48 PM,09:50 AM,06:48 AM,05:12 PM,5,4,6,4,11,90,94,0.9,1014,8,1,237,8,Ohio
2011-07-22,11,5,0.0,7.1,2,49,11:42 PM,10:20 AM,06:47 AM,05:13 PM,6,6,8,6,9,79,90,2.6,1014,11,6,200,6,Ohio
2011-07-23,11,3,0.0,8.7,2,42,No moonrise,10:53 AM,06:47 AM,05:14 PM,3,4,6,4,11,64,86,0.0,1017,11,5,192,7,Ohio
2011-07-24,13,1,0.0,8.7,2,34,12:36 AM,11:28 AM,06:46 AM,05:14 PM,1,6,7,6,8,33,73,0.0,1019,13,7,219,5,Ohio
2011-07-25,12,-1,0.0,8.7,2,27,01:32 AM,12:08 PM,06:46 AM,05:15 PM,1,3,5,3,13,28,81,0.1,1020,12,6,291,8,Ohio
2011-07-26,11,3,0.0,8.7,2,20,02:28 AM,12:53 PM,06:45 AM,05:15 PM,3,4,6,4,15,58,84,0.0,1022,11,5,283,9,Ohio
2011-07-27,11,-0,0.0,8.7,2,13,03:23 AM,01:44 PM,06:44 AM,05:16 PM,-0,4,4,4,8,39,77,0.0,1026,11,6,212,5,Ohio
2011-07-28,14,0,0.0,8.7,2,5,04:17 AM,02:41 PM,06:44 AM,05:17 PM,0,4,5,4,9,16,76,0.0,1028,14,8,117,5,Ohio
2011-07-29,15,-1,0.0,8.7,2,0,05:07 AM,03:43 PM,06:43 AM,05:17 PM,-1,5,5,5,5,1,76,0.0,1026,15,4,111,3,Ohio
2011-07-30,15,-0,0.0,8.7,2,0,05:54 AM,04:47 PM,06:42 AM,05:18 PM,0,5,5,5,5,4,76,0.0,1023,15,7,140,3,Ohio
2011-07-31,13,1,0.0,8.7,2,0,06:37 AM,05:54 PM,06:42 AM,05:18 PM,2,5,6,5,10,25,79,0.0,1022,13,6,292,6,Ohio
2011-08-01,15,0,0.0,8.7,2,9,07:17 AM,07:00 PM,06:41 AM,05:19 PM,3,6,7,6,6,16,79,0.1,1023,15,5,254,4,Ohio
2011-08-02,16,2,0.0,8.7,3,16,07:54 AM,08:06 PM,06:40 AM,05:20 PM,3,7,7,7,8,23,79,0.0,1023,16,5,288,5,Ohio
2011-08-03,17,2,0.0,8.7,3,24,08:31 AM,09:13 PM,06:40 AM,05:20 PM,3,8,8,8,8,3,74,0.0,1025,17,7,236,5,Ohio
2011-08-04,18,3,0.0,8.7,4,31,09:08 AM,10:19 PM,06:39 AM,05:21 PM,3,10,10,10,11,4,67,0.0,1027,18,10,150,6,Ohio
2011-08-05,16,4,0.0,8.7,4,38,09:47 AM,11:26 PM,06:38 AM,05:22 PM,2,8,9,8,14,4,67,0.0,1027,16,9,228,9,Ohio
2011-08-06,14,5,0.0,8.7,3,45,10:29 AM,No moonset,06:37 AM,05:22 PM,7,8,9,8,15,65,86,0.2,1023,14,5,325,10,Ohio
2011-08-07,13,6,0.0,7.2,3,53,11:16 AM,12:31 AM,06:36 AM,05:23 PM,8,8,9,8,14,73,90,1.1,1018,13,5,297,8,Ohio
2011-08-08,11,3,0.3,8.7,2,60,12:07 PM,01:36 AM,06:36 AM,05:23 PM,3,4,6,4,15,61,84,1.6,1013,11,8,293,10,Ohio
2011-08-09,8,2,0.0,7.2,2,67,01:03 PM,02:37 AM,06:35 AM,05:24 PM,3,2,4,2,16,82,90,0.9,1010,8,4,277,10,Ohio
2011-08-10,10,2,0.0,8.7,2,74,02:02 PM,03:33 AM,06:34 AM,05:25 PM,2,3,5,3,13,49,81,0.0,1010,10,8,284,9,Ohio
2011-08-11,9,2,0.0,7.2,2,82,03:02 PM,04:22 AM,06:33 AM,05:25 PM,3,4,5,4,10,75,90,5.5,1010,9,7,258,6,Ohio
2011-08-12,13,-0,0.0,8.7,2,89,04:02 PM,05:06 AM,06:32 AM,05:26 PM,3,5,6,5,12,60,82,0.0,1017,13,4,204,8,Ohio
2011-08-13,16,0,0.0,8.7,3,96,05:00 PM,05:45 AM,06:31 AM,05:26 PM,1,7,7,7,5,39,74,0.0,1023,16,6,172,3,Ohio
2011-08-14,11,3,0.0,4.1,2,100,05:57 PM,06:19 AM,06:30 AM,05:27 PM,5,6,7,6,9,73,91,4.9,1024,11,7,183,5,Ohio
2011-08-15,14,0,0.0,8.7,2,89,06:52 PM,06:51 AM,06:29 AM,05:28 PM,2,6,6,6,6,51,79,0.0,1023,14,6,126,4,Ohio
2011-08-16,15,-0,0.0,8.7,2,82,07:47 PM,07:22 AM,06:28 AM,05:28 PM,2,7,7,7,8,48,78,0.0,1020,15,4,122,5,Ohio
2011-08-17,13,4,0.0,7.2,3,75,08:40 PM,07:51 AM,06:27 AM,05:29 PM,7,7,9,7,12,76,92,1.9,1017,13,6,29,8,Ohio
2011-08-18,9,3,0.0,8.7,2,67,09:34 PM,08:21 AM,06:26 AM,05:29 PM,4,4,6,4,20,67,88,6.8,1013,9,8,246,14,Ohio
2011-08-19,8,1,0.1,8.7,2,60,10:27 PM,08:53 AM,06:25 AM,05:30 PM,3,3,4,3,11,78,90,0.4,1016,8,5,273,8,Ohio
2011-08-20,12,1,0.0,7.2,2,53,11:22 PM,09:27 AM,06:24 AM,05:31 PM,4,5,6,5,13,69,87,0.8,1023,12,3,155,9,Ohio
2011-08-21,11,6,0.0,7.2,2,46,No moonrise,10:04 AM,06:23 AM,05:31 PM,6,6,8,6,16,75,89,1.7,1029,11,4,131,11,Ohio
2011-08-22,9,7,0.0,4.2,2,38,12:16 AM,10:46 AM,06:22 AM,05:32 PM,7,5,8,5,17,75,93,3.2,1032,9,4,129,11,Ohio
