date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,34,25,0.0,11.6,8,24,01:58 AM,03:46 PM,06:16 AM,08:49 PM,22,33,33,29,39,8,69,0.0,1005,34,10,173,26,Oklahoma
2011-06-26,33,25,0.0,11.6,7,17,02:31 AM,04:43 PM,06:16 AM,08:49 PM,22,33,33,29,34,8,68,0.0,1007,33,10,153,24,Oklahoma
2011-06-27,35,23,0.0,9.4,7,9,03:08 AM,05:41 PM,06:17 AM,08:49 PM,20,31,31,28,25,45,64,0.2,1012,35,10,159,16,Oklahoma
2011-06-28,31,23,0.0,9.4,6,2,03:50 AM,06:38 PM,06:17 AM,08:49 PM,23,30,30,26,18,61,83,15.2,1014,31,9,102,11,Oklahoma
2011-06-29,35,24,0.0,11.6,8,0,04:38 AM,07:33 PM,06:17 AM,08:49 PM,21,32,32,29,27,5,62,0.2,1013,35,10,193,16,Oklahoma
2011-06-30,36,23,0.0,11.6,8,0,05:34 AM,08:24 PM,06:18 AM,08:49 PM,18,31,31,29,31,2,54,0.0,1012,36,10,182,18,Oklahoma
2011-07-01,36,23,0.0,11.6,8,0,06:35 AM,09:10 PM,06:18 AM,08:49 PM,18,31,31,29,29,4,54,0.0,1013,36,10,179,17,Oklahoma
2011-07-02,36,23,0.0,11.6,8,6,07:40 AM,09:52 PM,06:19 AM,08:49 PM,17,31,31,29,22,6,50,0.0,1015,36,10,178,13,Oklahoma
2011-07-03,37,24,0.0,11.6,7,13,08:46 AM,10:29 PM,06:19 AM,08:49 PM,17,31,31,30,26,11,48,0.0,1012,37,10,187,15,Oklahoma
2011-07-04,37,23,0.0,11.6,8,20,09:54 AM,11:04 PM,06:20 AM,08:49 PM,18,32,32,30,13,12,51,0.3,1011,37,10,121,8,Oklahoma
2011-07-05,38,23,0.0,11.6,8,27,11:01 AM,11:37 PM,06:20 AM,08:49 PM,18,32,32,30,19,15,52,0.2,1011,38,10,175,11,Oklahoma
2011-07-06,37,23,0.0,11.6,7,35,12:08 PM,No moonset,06:21 AM,08:49 PM,18,32,32,30,23,8,49,0.0,1012,37,10,162,13,Oklahoma
2011-07-07,39,25,0.0,11.6,7,42,01:16 PM,12:10 AM,06:21 AM,08:48 PM,17,32,32,31,28,17,46,0.8,1009,39,10,183,16,Oklahoma
2011-07-08,35,25,0.0,11.6,7,49,02:23 PM,12:44 AM,06:22 AM,08:48 PM,22,32,32,29,18,12,67,0.0,1008,35,10,57,11,Oklahoma
2011-07-09,40,23,0.0,11.6,8,56,03:32 PM,01:22 AM,06:22 AM,08:48 PM,19,33,33,31,26,8,53,0.0,1007,40,10,160,14,Oklahoma
2011-07-10,38,26,0.0,11.6,7,64,04:40 PM,02:04 AM,06:23 AM,08:48 PM,18,33,33,31,29,15,46,0.4,1010,38,10,186,17,Oklahoma
2011-07-11,36,25,0.0,11.6,8,71,05:45 PM,02:51 AM,06:23 AM,08:47 PM,18,32,32,30,28,8,50,0.0,1012,36,10,186,16,Oklahoma
2011-07-12,35,23,0.0,11.6,7,78,06:44 PM,03:45 AM,06:24 AM,08:47 PM,21,31,31,28,22,33,66,13.0,1012,35,10,201,13,Oklahoma
2011-07-13,35,23,0.0,11.6,7,86,07:38 PM,04:44 AM,06:25 AM,08:46 PM,22,32,32,28,23,35,71,24.3,1010,35,9,135,13,Oklahoma
2011-07-14,38,22,0.0,11.6,8,93,08:23 PM,05:47 AM,06:25 AM,08:46 PM,20,32,32,30,22,22,61,3.1,1008,38,10,154,12,Oklahoma
2011-07-15,39,24,0.0,11.6,8,100,09:02 PM,06:50 AM,06:26 AM,08:46 PM,19,33,33,31,22,9,53,0.0,1008,39,10,160,12,Oklahoma
2011-07-16,37,25,0.0,11.6,8,100,09:37 PM,07:52 AM,06:27 AM,08:45 PM,21,34,34,31,26,9,57,0.0,1011,37,10,141,15,Oklahoma
2011-07-17,36,25,0.0,11.6,7,85,10:07 PM,08:52 AM,06:27 AM,08:45 PM,22,34,34,30,20,10,62,0.4,1014,36,10,132,12,Oklahoma
2011-07-18,37,25,0.0,11.6,8,78,10:35 PM,09:51 AM,06:28 AM,08:44 PM,21,33,33,30,21,11,59,0.2,1015,37,10,118,12,Oklahoma
2011-07-19,36,24,0.0,11.6,8,71,11:03 PM,10:47 AM,06:29 AM,08:43 PM,20,32,32,30,22,14,58,0.0,1012,36,10,146,13,Oklahoma
2011-07-20,36,25,0.0,11.6,8,64,11:30 PM,11:43 AM,06:29 AM,08:43 PM,20,33,33,30,28,13,57,0.0,1010,36,10,174,17,Oklahoma
2011-07-21,37,24,0.0,11.6,8,56,11:59 PM,12:38 PM,06:30 AM,08:42 PM,20,33,33,30,26,11,54,0.0,1009,37,10,172,15,Oklahoma
2011-07-22,37,25,0.0,11.6,8,49,No moonrise,01:35 PM,06:31 AM,08:42 PM,18,33,33,31,27,11,48,0.0,1009,37,10,178,16,Oklahoma
2011-07-23,36,26,0.0,11.6,7,42,12:29 AM,02:31 PM,06:31 AM,08:41 PM,19,31,31,29,28,9,57,0.0,1011,36,10,175,14,Oklahoma
2011-07-24,40,25,0.0,11.6,8,34,01:04 AM,03:28 PM,06:32 AM,08:40 PM,18,34,34,32,24,10,45,0.4,1013,40,10,206,14,Oklahoma
2011-07-25,36,25,0.0,11.6,7,27,01:44 AM,04:25 PM,06:33 AM,08:40 PM,20,32,32,29,18,26,58,4.8,1012,36,10,111,11,Oklahoma
2011-07-26,38,25,0.0,11.6,8,20,02:29 AM,05:21 PM,06:34 AM,08:39 PM,21,33,33,31,23,19,58,0.1,1007,38,10,147,14,Oklahoma
2011-07-27,36,26,0.0,11.6,8,13,03:21 AM,06:13 PM,06:34 AM,08:38 PM,20,33,33,31,28,5,54,0.0,1007,36,10,167,16,Oklahoma
2011-07-28,37,25,0.0,11.6,8,5,04:19 AM,07:02 PM,06:35 AM,08:37 PM,18,33,33,31,26,3,49,0.0,1010,37,10,159,15,Oklahoma
2011-07-29,36,25,0.0,11.6,8,0,05:23 AM,07:47 PM,06:36 AM,08:36 PM,21,33,33,31,22,17,58,0.0,1012,36,10,166,13,Oklahoma
2011-07-30,37,25,0.0,11.6,8,0,06:30 AM,08:26 PM,06:37 AM,08:36 PM,20,34,34,31,23,10,56,0.0,1014,37,10,176,14,Oklahoma
2011-07-31,38,25,0.0,11.6,8,0,07:39 AM,09:03 PM,06:37 AM,08:35 PM,18,33,33,31,18,10,45,0.0,1015,38,10,200,10,Oklahoma
2011-08-01,40,25,0.0,11.6,8,9,08:48 AM,09:38 PM,06:38 AM,08:34 PM,16,34,34,33,23,12,40,0.4,1013,40,10,210,13,Oklahoma
2011-08-02,41,27,0.0,11.6,9,16,09:57 AM,10:12 PM,06:39 AM,08:33 PM,15,34,34,34,23,6,33,0.0,1009,41,10,209,13,Oklahoma
2011-08-03,40,27,0.0,11.6,8,24,11:06 AM,10:46 PM,06:40 AM,08:32 PM,17,36,36,34,20,4,38,0.2,1008,40,10,245,11,Oklahoma
2011-08-04,38,25,0.0,11.6,8,31,12:15 PM,11:24 PM,06:40 AM,08:31 PM,19,34,34,32,17,6,49,0.0,1009,38,10,163,10,Oklahoma
2011-08-05,39,27,0.0,11.6,9,38,01:24 PM,No moonset,06:41 AM,08:30 PM,16,34,34,33,28,3,35,0.0,1008,39,10,193,15,Oklahoma
2011-08-06,40,24,0.0,11.6,7,45,02:32 PM,12:04 AM,06:42 AM,08:29 PM,18,33,33,31,21,10,48,3.6,1009,40,10,174,12,Oklahoma
2011-08-07,38,23,0.0,11.6,7,53,03:38 PM,12:49 AM,06:43 AM,08:28 PM,20,33,33,30,27,30,56,16.3,1009,38,9,169,15,Oklahoma
2011-08-08,37,25,0.0,11.6,8,60,04:38 PM,01:41 AM,06:44 AM,08:27 PM,19,34,34,32,29,6,47,0.0,1005,37,10,193,17,Oklahoma
2011-08-09,34,21,0.0,11.6,7,67,05:33 PM,02:37 AM,06:44 AM,08:26 PM,21,31,31,28,20,3,66,0.2,1007,34,10,58,12,Oklahoma
2011-08-10,34,22,0.0,11.6,6,74,06:19 PM,03:37 AM,06:45 AM,08:25 PM,22,30,30,27,26,18,73,12.2,1007,34,9,80,16,Oklahoma
2011-08-11,30,20,0.0,10.4,6,82,07:01 PM,04:39 AM,06:46 AM,08:24 PM,21,28,28,25,17,46,82,11.7,1010,30,9,104,11,Oklahoma
2011-08-12,34,22,0.0,11.6,6,89,07:36 PM,05:41 AM,06:47 AM,08:23 PM,19,30,30,27,26,9,63,2.2,1010,34,10,160,15,Oklahoma
2011-08-13,31,20,0.0,11.6,7,96,08:08 PM,06:41 AM,06:48 AM,08:21 PM,19,28,28,26,16,9,66,1.0,1013,31,10,89,9,Oklahoma
2011-08-14,34,21,0.0,11.6,7,100,08:37 PM,07:40 AM,06:48 AM,08:20 PM,21,30,30,27,14,20,69,0.1,1014,34,10,84,8,Oklahoma
