date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,37,22,0.0,14.1,8,24,01:26 AM,02:59 PM,05:51 AM,07:59 PM,22,32,32,28,10,12,71,1.9,1013,37,10,224,6,Pennsylvania
2011-06-26,38,24,0.0,14.1,8,17,02:00 AM,03:54 PM,05:51 AM,07:59 PM,22,34,34,30,11,11,66,0.4,1015,38,10,227,7,Pennsylvania
2011-06-27,33,24,0.0,12.2,7,9,02:39 AM,04:50 PM,05:51 AM,07:59 PM,22,32,32,28,12,40,72,1.6,1015,33,9,191,8,Pennsylvania
2011-06-28,35,25,0.0,14.1,7,2,03:22 AM,05:47 PM,05:52 AM,07:59 PM,23,34,34,30,10,20,71,3.8,1016,35,10,248,6,Pennsylvania
2011-06-29,34,22,0.0,14.5,8,0,04:11 AM,06:41 PM,05:52 AM,08:00 PM,20,30,30,28,13,17,65,0.0,1015,34,10,184,9,Pennsylvania
2011-06-30,36,23,0.0,14.5,8,0,05:07 AM,07:33 PM,05:52 AM,08:00 PM,20,31,31,29,9,4,63,0.0,1014,36,10,155,5,Pennsylvania
2011-07-01,38,23,0.0,14.5,8,0,06:06 AM,08:21 PM,05:53 AM,08:00 PM,20,33,33,30,10,4,59,0.5,1014,38,10,138,6,Pennsylvania
2011-07-02,39,25,0.0,14.5,7,6,07:10 AM,09:05 PM,05:53 AM,08:00 PM,23,35,35,30,12,20,68,1.8,1015,39,10,231,7,Pennsylvania
2011-07-03,36,25,0.0,14.1,7,13,08:14 AM,09:45 PM,05:53 AM,07:59 PM,21,33,33,30,12,18,65,1.1,1015,36,10,187,8,Pennsylvania
2011-07-04,33,24,0.0,14.1,6,20,09:19 AM,10:22 PM,05:54 AM,07:59 PM,21,29,29,27,10,32,72,0.7,1015,33,10,174,6,Pennsylvania
2011-07-05,36,22,0.0,14.1,8,27,10:23 AM,10:58 PM,05:54 AM,07:59 PM,20,31,31,29,7,20,64,0.0,1015,36,10,170,5,Pennsylvania
2011-07-06,35,22,0.0,14.0,7,35,11:28 AM,11:34 PM,05:55 AM,07:59 PM,22,32,32,28,7,23,70,4.3,1015,35,10,168,4,Pennsylvania
2011-07-07,37,24,0.0,14.0,7,42,12:32 PM,No moonset,05:55 AM,07:59 PM,22,33,33,30,10,20,67,7.4,1013,37,9,268,6,Pennsylvania
2011-07-08,36,25,0.0,14.0,7,49,01:38 PM,12:10 AM,05:56 AM,07:59 PM,22,34,34,30,15,22,66,3.8,1010,36,10,246,9,Pennsylvania
2011-07-09,35,26,0.0,14.0,7,56,02:43 PM,12:50 AM,05:56 AM,07:59 PM,24,34,34,30,16,20,72,9.6,1012,35,9,230,10,Pennsylvania
2011-07-10,34,26,0.0,14.0,7,64,03:49 PM,01:35 AM,05:57 AM,07:58 PM,24,35,35,29,14,21,75,17.2,1015,34,9,228,8,Pennsylvania
2011-07-11,31,26,0.0,13.4,6,71,04:53 PM,02:23 AM,05:57 AM,07:58 PM,24,33,33,28,10,31,81,33.6,1016,31,7,232,6,Pennsylvania
2011-07-12,34,24,0.0,14.0,7,78,05:53 PM,03:18 AM,05:58 AM,07:58 PM,24,34,34,29,9,12,79,14.2,1015,34,9,271,5,Pennsylvania
2011-07-13,32,25,0.0,14.0,7,86,06:47 PM,04:17 AM,05:58 AM,07:58 PM,25,33,33,28,12,17,81,12.4,1012,32,9,280,7,Pennsylvania
2011-07-14,32,24,0.0,12.2,6,93,07:34 PM,05:18 AM,05:59 AM,07:57 PM,25,32,32,27,10,53,87,30.8,1010,32,7,214,6,Pennsylvania
2011-07-15,31,24,0.0,14.0,6,100,08:15 PM,06:19 AM,05:59 AM,07:57 PM,25,32,32,27,10,40,86,38.4,1010,31,8,142,6,Pennsylvania
2011-07-16,30,24,0.0,12.1,6,100,08:52 PM,07:20 AM,06:00 AM,07:57 PM,24,31,31,27,8,51,87,46.3,1013,30,7,178,4,Pennsylvania
2011-07-17,28,23,0.0,9.7,6,85,09:25 PM,08:17 AM,06:00 AM,07:56 PM,24,29,29,26,10,59,89,31.5,1016,28,7,171,6,Pennsylvania
2011-07-18,32,23,0.0,11.6,6,78,09:56 PM,09:14 AM,06:01 AM,07:56 PM,23,30,30,27,14,55,80,6.1,1016,32,8,139,9,Pennsylvania
2011-07-19,35,22,0.0,11.6,8,71,10:25 PM,10:08 AM,06:02 AM,07:55 PM,22,32,32,28,9,21,70,0.1,1015,35,10,146,6,Pennsylvania
2011-07-20,36,24,0.0,11.6,7,64,10:55 PM,11:01 AM,06:02 AM,07:55 PM,23,32,32,28,11,18,73,12.4,1014,36,9,245,6,Pennsylvania
2011-07-21,35,24,0.0,11.6,7,56,11:26 PM,11:55 AM,06:03 AM,07:54 PM,22,32,32,28,13,17,72,10.2,1014,35,9,222,8,Pennsylvania
2011-07-22,33,24,0.0,11.6,7,49,11:58 PM,12:48 PM,06:03 AM,07:54 PM,23,32,32,28,11,25,76,10.6,1015,33,9,198,7,Pennsylvania
2011-07-23,28,24,0.0,11.6,6,42,No moonrise,01:43 PM,06:04 AM,07:53 PM,22,28,28,26,13,23,83,4.4,1017,28,9,203,8,Pennsylvania
2011-07-24,32,24,0.0,10.4,6,34,12:34 AM,02:38 PM,06:04 AM,07:53 PM,23,31,31,27,11,29,80,13.2,1018,32,9,237,6,Pennsylvania
