date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,32,23,0.0,10.5,6,24,01:58 AM,03:34 PM,06:21 AM,08:34 PM,23,32,32,28,21,28,76,0.1,1010,32,9,177,13,Rhode+Island
2011-06-26,33,22,0.0,11.6,7,17,02:32 AM,04:30 PM,06:21 AM,08:34 PM,22,32,32,28,19,7,72,0.0,1012,33,10,181,13,Rhode+Island
2011-06-27,34,23,0.0,9.3,7,9,03:11 AM,05:27 PM,06:21 AM,08:34 PM,21,32,32,29,16,43,68,0.5,1014,34,9,172,10,Rhode+Island
2011-06-28,35,23,0.0,11.6,7,2,03:54 AM,06:23 PM,06:22 AM,08:34 PM,22,33,33,29,15,5,68,0.0,1015,35,9,195,9,Rhode+Island
2011-06-29,35,24,0.0,11.6,8,0,04:43 AM,07:18 PM,06:22 AM,08:34 PM,21,33,33,29,13,11,64,0.0,1015,35,10,195,8,Rhode+Island
2011-06-30,36,24,0.0,11.6,8,0,05:38 AM,08:09 PM,06:22 AM,08:34 PM,20,32,32,29,14,18,61,0.0,1014,36,10,189,8,Rhode+Island
2011-07-01,36,23,0.0,11.6,8,0,06:38 AM,08:57 PM,06:23 AM,08:34 PM,20,32,32,29,14,14,59,0.0,1014,36,10,201,8,Rhode+Island
2011-07-02,38,24,0.0,11.6,8,6,07:42 AM,09:40 PM,06:23 AM,08:34 PM,21,33,33,30,11,12,60,0.0,1016,38,10,217,6,Rhode+Island
2011-07-03,37,24,0.0,11.6,8,13,08:47 AM,10:19 PM,06:23 AM,08:34 PM,20,33,33,30,15,11,56,0.1,1014,37,10,238,9,Rhode+Island
2011-07-04,36,24,0.0,11.6,8,20,09:52 AM,10:56 PM,06:24 AM,08:34 PM,20,32,32,30,17,9,58,0.0,1013,36,10,216,10,Rhode+Island
2011-07-05,36,23,0.0,11.6,8,27,10:57 AM,11:32 PM,06:24 AM,08:34 PM,19,32,32,29,12,9,56,0.0,1013,36,10,209,6,Rhode+Island
2011-07-06,37,23,0.0,11.6,8,35,12:02 PM,No moonset,06:25 AM,08:34 PM,20,32,32,30,14,13,58,0.0,1014,37,10,193,8,Rhode+Island
