date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,10,-0,0.0,8.7,3,24,01:17 AM,12:44 PM,06:47 AM,05:18 PM,-5,1,4,1,26,4,54,0.0,1024,10,10,217,17,South+Carolina
2011-06-26,12,0,0.0,8.7,3,17,02:09 AM,01:21 PM,06:47 AM,05:18 PM,-2,4,6,4,14,3,62,0.0,1023,12,10,221,8,South+Carolina
2011-06-27,18,5,0.0,8.7,4,9,03:03 AM,02:02 PM,06:47 AM,05:18 PM,0,10,11,10,16,13,52,0.0,1024,18,10,200,9,South+Carolina
2011-06-28,16,3,0.0,8.7,4,2,03:58 AM,02:47 PM,06:47 AM,05:19 PM,-2,8,8,8,10,0,51,0.0,1019,16,10,281,6,South+Carolina
2011-06-29,17,4,0.0,8.7,4,0,04:53 AM,03:38 PM,06:47 AM,05:19 PM,-3,9,9,9,9,0,45,0.0,1020,17,10,273,6,South+Carolina
2011-06-30,17,5,0.0,8.7,4,0,05:48 AM,04:34 PM,06:47 AM,05:19 PM,-5,9,10,9,17,0,37,0.0,1021,17,10,233,10,South+Carolina
2011-07-01,14,3,0.0,8.7,3,0,06:40 AM,05:34 PM,06:47 AM,05:20 PM,-8,6,7,6,13,0,35,0.0,1022,14,10,230,7,South+Carolina
2011-07-02,14,2,0.0,8.7,4,6,07:29 AM,06:35 PM,06:47 AM,05:20 PM,-7,6,8,6,22,0,35,0.0,1016,14,10,298,13,South+Carolina
2011-07-03,15,3,0.0,8.7,4,13,08:13 AM,07:38 PM,06:47 AM,05:20 PM,-3,8,9,8,14,0,44,0.0,1018,15,10,170,8,South+Carolina
2011-07-04,15,5,0.0,8.7,4,20,08:55 AM,08:40 PM,06:47 AM,05:21 PM,5,7,9,7,23,18,77,0.0,1025,15,10,84,14,South+Carolina
2011-07-05,12,5,0.0,8.7,3,27,09:35 AM,09:42 PM,06:47 AM,05:21 PM,5,6,8,6,20,38,81,0.1,1024,12,8,176,13,South+Carolina
2011-07-06,14,3,0.0,8.7,3,35,10:13 AM,10:43 PM,06:47 AM,05:21 PM,-4,5,8,5,27,1,48,0.0,1028,14,10,125,16,South+Carolina
2011-07-07,14,4,0.0,8.7,4,42,10:51 AM,11:45 PM,06:47 AM,05:22 PM,-1,7,8,7,17,3,54,0.0,1029,14,10,123,10,South+Carolina
2011-07-08,14,4,0.0,8.7,4,49,11:31 AM,No moonset,06:47 AM,05:22 PM,-1,7,8,7,18,2,55,0.0,1030,14,10,109,10,South+Carolina
2011-07-09,14,4,0.0,8.7,3,56,12:14 PM,12:48 AM,06:47 AM,05:23 PM,-1,6,8,6,19,3,57,0.0,1032,14,10,100,11,South+Carolina
2011-07-10,13,3,0.0,8.7,3,64,01:01 PM,01:52 AM,06:47 AM,05:23 PM,-0,5,7,5,20,3,62,0.0,1033,13,10,89,12,South+Carolina
2011-07-11,14,3,0.0,8.7,4,71,01:52 PM,02:56 AM,06:47 AM,05:24 PM,2,8,8,8,10,8,66,0.0,1031,14,10,110,6,South+Carolina
2011-07-12,15,3,0.0,8.7,4,78,02:48 PM,03:58 AM,06:47 AM,05:24 PM,-1,8,8,8,13,4,58,0.0,1028,15,10,121,7,South+Carolina
2011-07-13,14,3,0.0,8.7,3,86,03:47 PM,04:57 AM,06:46 AM,05:24 PM,-4,6,8,6,17,4,46,0.0,1028,14,10,111,9,South+Carolina
2011-07-14,14,4,0.0,8.7,3,93,04:47 PM,05:51 AM,06:46 AM,05:25 PM,-2,6,8,6,17,10,52,0.0,1027,14,10,148,10,South+Carolina
2011-07-15,15,4,0.0,8.7,4,100,05:47 PM,06:38 AM,06:46 AM,05:25 PM,-4,7,9,7,17,6,44,0.0,1025,15,10,159,9,South+Carolina
2011-07-16,16,5,0.0,8.7,4,100,06:45 PM,07:21 AM,06:46 AM,05:26 PM,-1,8,10,8,25,2,52,0.0,1025,16,10,144,14,South+Carolina
2011-07-17,16,5,0.0,8.7,4,85,07:40 PM,07:59 AM,06:45 AM,05:26 PM,-4,8,10,8,17,1,44,0.0,1024,16,10,167,10,South+Carolina
2011-07-18,15,4,0.0,8.7,4,78,08:33 PM,08:33 AM,06:45 AM,05:27 PM,-6,8,9,8,12,0,35,0.0,1023,15,10,218,7,South+Carolina
2011-07-19,16,3,0.0,8.7,4,71,09:26 PM,09:06 AM,06:45 AM,05:27 PM,-6,9,9,9,11,1,36,0.0,1022,16,10,260,6,South+Carolina
2011-07-20,18,5,0.0,8.7,4,64,10:16 PM,09:38 AM,06:44 AM,05:28 PM,-4,10,10,10,14,5,37,0.0,1021,18,10,295,8,South+Carolina
2011-07-21,20,5,0.0,8.7,4,56,11:08 PM,10:09 AM,06:44 AM,05:28 PM,-4,11,11,11,8,0,35,0.0,1022,20,10,289,5,South+Carolina
2011-07-22,20,6,0.0,8.7,5,49,12:00 AM,10:42 AM,06:44 AM,05:29 PM,-4,12,12,12,10,0,34,0.0,1025,20,10,188,5,South+Carolina
2011-07-23,19,6,0.0,8.7,5,42,No moonrise,11:18 AM,06:43 AM,05:29 PM,1,13,13,13,10,0,47,0.0,1026,19,10,210,7,South+Carolina
2011-07-24,18,6,0.0,8.7,4,34,12:53 AM,11:57 AM,06:43 AM,05:30 PM,-1,11,11,11,13,0,43,0.0,1019,18,10,298,8,South+Carolina
2011-07-25,19,7,0.0,8.7,5,27,01:47 AM,12:39 PM,06:42 AM,05:30 PM,1,12,13,12,16,12,44,0.4,1012,19,10,229,10,South+Carolina
2011-07-26,13,6,0.0,8.7,3,20,02:41 AM,01:28 PM,06:42 AM,05:31 PM,3,8,9,8,16,38,68,7.0,1018,13,9,105,11,South+Carolina
2011-07-27,16,4,0.0,8.7,4,13,03:36 AM,02:20 PM,06:41 AM,05:31 PM,3,7,9,7,22,7,64,0.0,1021,16,10,122,14,South+Carolina
2011-07-28,16,5,0.0,8.7,4,5,04:29 AM,03:19 PM,06:41 AM,05:32 PM,3,10,10,10,14,4,61,0.0,1017,16,10,255,9,South+Carolina
2011-07-29,10,4,0.0,8.7,3,0,05:19 AM,04:20 PM,06:40 AM,05:32 PM,-3,4,7,4,25,7,50,0.0,1020,10,10,219,17,South+Carolina
2011-07-30,16,3,0.0,8.7,4,0,06:06 AM,05:23 PM,06:40 AM,05:33 PM,-1,7,9,7,24,4,53,0.0,1028,16,10,131,14,South+Carolina
2011-07-31,16,5,0.0,8.7,4,0,06:50 AM,06:27 PM,06:39 AM,05:33 PM,0,9,9,9,12,2,56,0.0,1029,16,10,89,7,South+Carolina
2011-08-01,16,4,0.0,8.7,4,9,07:32 AM,07:31 PM,06:39 AM,05:34 PM,-2,9,10,9,10,1,49,0.0,1027,16,10,133,6,South+Carolina
2011-08-02,16,5,0.0,8.7,4,16,08:12 AM,08:34 PM,06:38 AM,05:34 PM,-4,9,10,9,12,0,41,0.0,1027,16,10,68,7,South+Carolina
2011-08-03,15,3,0.0,8.7,4,24,08:51 AM,09:38 PM,06:37 AM,05:35 PM,-4,9,9,9,10,0,41,0.0,1025,15,10,256,6,South+Carolina
2011-08-04,16,3,0.0,8.7,4,31,09:32 AM,10:41 PM,06:37 AM,05:35 PM,-6,9,9,9,9,0,35,0.0,1024,16,10,303,6,South+Carolina
2011-08-05,18,5,0.0,8.7,4,38,10:14 AM,11:46 PM,06:36 AM,05:35 PM,-3,11,11,11,17,4,39,0.0,1021,18,10,305,10,South+Carolina
2011-08-06,19,7,0.0,8.7,5,45,10:59 AM,No moonset,06:35 AM,05:36 PM,3,12,13,12,15,7,55,0.4,1023,19,10,154,9,South+Carolina
2011-08-07,14,8,0.0,8.7,3,53,11:49 AM,12:49 AM,06:35 AM,05:36 PM,6,10,10,10,11,37,77,1.4,1027,14,9,177,8,South+Carolina
2011-08-08,17,5,0.0,8.7,4,60,12:43 PM,01:52 AM,06:34 AM,05:37 PM,2,11,11,11,9,4,59,0.0,1023,17,10,275,6,South+Carolina
2011-08-09,18,7,0.0,8.7,5,67,01:40 PM,02:51 AM,06:33 AM,05:37 PM,0,12,13,12,9,1,46,0.0,1021,18,10,231,5,South+Carolina
2011-08-10,18,7,0.0,8.7,4,74,02:38 PM,03:45 AM,06:32 AM,05:38 PM,-3,12,12,12,10,0,38,0.0,1020,18,10,244,7,South+Carolina
2011-08-11,19,6,0.0,8.7,4,82,03:38 PM,04:34 AM,06:32 AM,05:38 PM,-7,11,12,11,12,0,28,0.0,1020,19,10,229,7,South+Carolina
2011-08-12,20,6,0.0,8.7,5,89,04:35 PM,05:18 AM,06:31 AM,05:39 PM,-9,12,13,12,13,0,23,0.0,1018,20,10,246,7,South+Carolina
2011-08-13,22,8,0.0,8.7,5,96,05:31 PM,05:57 AM,06:30 AM,05:39 PM,-6,15,15,15,12,11,23,0.0,1014,22,10,289,7,South+Carolina
2011-08-14,19,9,0.0,8.7,4,100,06:25 PM,06:32 AM,06:29 AM,05:40 PM,4,13,14,13,22,22,56,11.3,1018,19,9,87,14,South+Carolina
2011-08-15,12,6,0.0,8.7,2,89,07:18 PM,07:06 AM,06:28 AM,05:40 PM,5,6,9,6,29,47,76,19.8,1026,12,9,106,21,South+Carolina
2011-08-16,13,3,0.0,8.7,3,82,08:09 PM,07:38 AM,06:28 AM,05:41 PM,2,5,8,5,23,16,67,0.0,1031,13,10,118,16,South+Carolina
2011-08-17,14,3,0.0,8.7,4,75,09:00 PM,08:10 AM,06:27 AM,05:41 PM,-0,6,8,6,17,3,59,0.0,1029,14,10,98,11,South+Carolina
2011-08-18,15,4,0.0,8.7,4,67,09:52 PM,08:42 AM,06:26 AM,05:41 PM,-2,9,10,9,12,1,49,0.0,1026,15,10,226,7,South+Carolina
2011-08-19,16,6,0.0,8.7,4,60,10:43 PM,09:17 AM,06:25 AM,05:42 PM,1,10,11,10,11,2,50,0.0,1021,16,10,312,7,South+Carolina
2011-08-20,20,7,0.0,8.7,5,53,11:37 PM,09:54 AM,06:24 AM,05:42 PM,2,13,14,13,10,1,47,0.0,1020,20,10,243,7,South+Carolina
2011-08-21,21,10,0.0,8.7,5,46,No moonrise,10:34 AM,06:23 AM,05:43 PM,2,15,15,15,16,0,42,0.0,1019,21,10,218,10,South+Carolina
2011-08-22,23,10,0.0,8.7,5,38,12:30 AM,11:19 AM,06:22 AM,05:43 PM,2,16,16,16,17,0,42,0.0,1019,23,10,35,10,South+Carolina
2011-08-23,21,9,0.0,8.7,5,31,01:24 AM,12:09 PM,06:21 AM,05:44 PM,3,14,15,14,28,1,49,0.0,1018,21,10,101,18,South+Carolina
2011-08-24,18,7,0.0,8.7,4,24,02:16 AM,01:04 PM,06:20 AM,05:44 PM,0,11,12,11,19,0,45,0.0,1022,18,10,176,12,South+Carolina
2011-08-25,20,8,0.0,8.7,5,16,03:08 AM,02:02 PM,06:19 AM,05:44 PM,2,14,14,14,13,0,47,0.0,1023,20,10,220,8,South+Carolina
2011-08-26,24,9,0.0,8.7,5,9,03:56 AM,03:04 PM,06:18 AM,05:45 PM,2,16,16,16,9,0,42,0.0,1021,24,10,239,6,South+Carolina
2011-08-27,23,12,0.0,8.7,5,2,04:41 AM,04:08 PM,06:17 AM,05:45 PM,6,16,17,16,18,7,50,0.0,1024,23,10,98,12,South+Carolina
2011-08-28,20,10,0.0,8.7,5,0,05:25 AM,05:13 PM,06:16 AM,05:46 PM,7,14,14,14,13,15,65,0.0,1028,20,10,205,9,South+Carolina
2011-08-29,20,9,0.0,8.7,5,0,06:05 AM,06:17 PM,06:15 AM,05:46 PM,7,14,14,14,12,10,66,0.0,1026,20,10,229,8,South+Carolina
2011-08-30,23,9,0.0,8.7,5,5,06:46 AM,07:23 PM,06:14 AM,05:47 PM,4,17,17,17,9,1,47,0.0,1023,23,10,272,5,South+Carolina
2011-08-31,24,11,0.0,8.7,6,9,07:28 AM,08:28 PM,06:13 AM,05:47 PM,2,17,17,17,9,0,37,0.0,1020,24,10,259,5,South+Carolina
2011-09-01,24,11,0.0,8.7,6,20,08:10 AM,09:35 PM,06:12 AM,05:47 PM,0,17,18,17,14,0,33,0.0,1019,24,10,233,9,South+Carolina
2011-09-02,25,12,0.0,8.7,6,28,08:56 AM,10:41 PM,06:11 AM,05:48 PM,-3,18,18,18,24,0,26,0.0,1016,25,10,273,15,South+Carolina
2011-09-03,23,9,0.0,8.7,5,36,09:46 AM,11:45 PM,06:10 AM,05:48 PM,-4,16,16,16,12,0,26,0.0,1020,23,10,227,8,South+Carolina
2011-09-04,24,10,0.0,8.7,5,43,10:39 AM,No moonset,06:09 AM,05:49 PM,-3,16,16,16,10,0,31,0.0,1020,24,10,231,7,South+Carolina
2011-09-05,23,9,0.0,8.7,5,51,11:36 AM,12:46 AM,06:08 AM,05:49 PM,-3,17,16,17,11,0,29,0.0,1022,23,10,226,7,South+Carolina
2011-09-06,25,10,0.0,8.7,6,58,12:34 PM,01:42 AM,06:07 AM,05:49 PM,-0,18,17,18,8,0,34,0.0,1023,25,10,256,5,South+Carolina
2011-09-07,25,12,0.0,8.7,6,66,01:33 PM,02:31 AM,06:06 AM,05:50 PM,1,18,18,18,12,0,33,0.0,1023,25,10,205,7,South+Carolina
2011-09-08,25,12,0.0,8.7,6,73,02:29 PM,03:17 AM,06:05 AM,05:50 PM,3,18,18,18,14,0,42,0.0,1021,25,10,228,9,South+Carolina
2011-09-09,26,12,0.0,8.7,6,81,03:25 PM,03:57 AM,06:04 AM,05:50 PM,-1,19,19,19,13,0,27,0.0,1018,26,10,311,8,South+Carolina
2011-09-10,28,13,0.0,8.7,6,88,04:19 PM,04:33 AM,06:03 AM,05:51 PM,-2,20,20,21,10,0,23,0.0,1020,28,10,245,5,South+Carolina
2011-09-11,26,14,0.0,8.7,6,96,05:12 PM,05:07 AM,06:02 AM,05:51 PM,-3,19,19,19,16,0,25,0.0,1022,26,10,83,10,South+Carolina
2011-09-12,24,10,0.0,8.7,6,100,06:03 PM,05:40 AM,06:01 AM,05:52 PM,-3,17,17,17,13,0,27,0.0,1018,24,10,225,9,South+Carolina
2011-09-13,25,12,0.0,11.5,6,89,06:54 PM,06:11 AM,06:00 AM,05:52 PM,-0,19,19,19,15,6,28,0.0,1014,25,10,139,10,South+Carolina
2011-09-14,25,14,0.0,11.6,5,81,07:46 PM,06:43 AM,05:59 AM,05:52 PM,4,19,19,19,18,12,40,1.1,1016,25,9,183,12,South+Carolina
2011-09-15,24,12,0.0,11.6,6,74,08:37 PM,07:17 AM,05:58 AM,05:53 PM,6,18,19,18,20,4,49,0.0,1017,24,10,181,13,South+Carolina
2011-09-16,24,12,0.0,11.6,5,66,09:30 PM,07:53 AM,05:56 AM,05:53 PM,-5,17,17,17,19,1,30,0.0,1022,24,10,136,12,South+Carolina
2011-09-17,21,11,0.0,11.6,5,59,10:22 PM,08:32 AM,05:55 AM,05:54 PM,5,15,15,15,13,7,54,0.0,1024,21,10,218,9,South+Carolina
2011-09-18,24,9,0.0,11.6,6,51,11:15 PM,09:15 AM,05:54 AM,05:54 PM,-1,17,17,17,19,0,31,0.0,1018,24,10,306,12,South+Carolina
2011-09-19,27,12,0.0,11.6,6,44,No moonrise,10:02 AM,05:53 AM,05:54 PM,-3,19,19,19,24,0,24,0.0,1014,27,10,258,16,South+Carolina
2011-09-20,21,10,0.0,11.6,5,36,12:07 AM,10:53 AM,05:52 AM,05:55 PM,6,15,16,15,21,14,56,0.0,1018,21,10,225,14,South+Carolina
2011-09-21,24,10,0.0,11.6,6,29,12:57 AM,11:49 AM,05:51 AM,05:55 PM,4,17,17,17,11,2,46,0.0,1018,24,10,182,8,South+Carolina
2011-09-22,24,12,0.0,11.6,6,21,01:46 AM,12:47 PM,05:50 AM,05:56 PM,10,18,19,18,21,19,63,0.1,1021,24,10,159,14,South+Carolina
2011-09-23,25,12,0.0,11.6,6,14,02:31 AM,01:49 PM,05:49 AM,05:56 PM,5,18,18,18,15,10,52,0.0,1021,25,9,248,10,South+Carolina
2011-09-24,22,12,0.0,11.6,4,6,03:15 AM,02:51 PM,05:48 AM,05:56 PM,7,15,16,15,21,25,57,0.5,1028,22,10,99,16,South+Carolina
2011-09-25,22,9,0.0,11.6,5,0,03:56 AM,03:56 PM,05:47 AM,05:57 PM,5,15,16,15,12,8,53,0.0,1027,22,10,93,8,South+Carolina
2011-09-26,25,10,0.0,11.6,6,0,04:37 AM,05:01 PM,05:45 AM,05:57 PM,5,18,18,18,10,4,48,0.0,1022,25,10,280,7,South+Carolina
2011-09-27,28,12,0.0,11.6,6,0,05:18 AM,06:07 PM,05:44 AM,05:58 PM,4,20,20,21,10,2,36,0.0,1017,28,10,245,7,South+Carolina
2011-09-28,27,14,0.0,11.6,6,1,06:01 AM,07:15 PM,05:43 AM,05:58 PM,7,20,20,20,15,3,43,0.0,1018,27,10,158,10,South+Carolina
2011-09-29,26,14,0.0,11.6,6,9,06:47 AM,08:23 PM,05:42 AM,05:58 PM,6,20,20,20,12,13,45,0.0,1015,26,10,291,7,South+Carolina
2011-09-30,27,15,0.0,11.6,5,16,07:37 AM,09:31 PM,05:41 AM,05:59 PM,5,20,20,20,19,19,39,1.8,1017,27,10,193,13,South+Carolina
2011-10-01,24,13,0.0,11.6,5,23,08:31 AM,10:35 PM,05:40 AM,05:59 PM,10,18,19,18,18,9,60,1.7,1017,24,10,166,13,South+Carolina
2011-10-02,22,15,0.0,12.6,4,30,09:29 AM,11:35 PM,05:39 AM,06:00 PM,11,18,18,18,20,24,65,3.3,1014,22,9,152,14,South+Carolina
