date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,16,12,0.0,8.7,4,24,01:24 AM,12:34 PM,07:18 AM,05:06 PM,10,12,14,12,31,21,78,7.5,1013,16,10,289,20,Tennessee
2011-06-26,17,12,0.0,8.7,4,17,02:20 AM,01:07 PM,07:19 AM,05:07 PM,9,12,14,12,29,6,74,0.0,1022,17,10,314,17,Tennessee
2011-06-27,15,12,0.0,5.4,3,9,03:18 AM,01:43 PM,07:19 AM,05:07 PM,9,12,13,12,33,47,74,1.1,1018,15,10,265,21,Tennessee
2011-06-28,16,11,0.0,5.4,3,2,04:15 AM,02:24 PM,07:19 AM,05:07 PM,10,12,14,12,32,49,81,15.7,1007,16,9,306,20,Tennessee
2011-06-29,14,10,0.0,8.7,4,0,05:12 AM,03:13 PM,07:19 AM,05:08 PM,8,10,11,10,16,12,81,0.5,1012,14,10,266,10,Tennessee
2011-06-30,16,9,0.0,7.0,3,0,06:07 AM,04:07 PM,07:19 AM,05:08 PM,9,10,12,10,37,32,82,4.9,1008,16,10,278,23,Tennessee
2011-07-01,14,10,0.0,7.0,3,0,06:59 AM,05:08 PM,07:19 AM,05:09 PM,7,8,11,8,48,48,78,13.4,1011,14,9,281,31,Tennessee
2011-07-02,12,9,0.0,8.7,3,6,07:46 AM,06:12 PM,07:19 AM,05:09 PM,7,7,10,7,43,39,78,11.5,1010,12,9,251,27,Tennessee
2011-07-03,12,9,0.0,8.7,3,13,08:28 AM,07:19 PM,07:19 AM,05:09 PM,7,8,11,8,31,50,81,16.1,1016,12,9,215,20,Tennessee
2011-07-04,14,11,0.0,8.7,3,20,09:06 AM,08:26 PM,07:19 AM,05:10 PM,7,11,12,11,22,66,72,0.5,1027,14,10,191,14,Tennessee
2011-07-05,14,10,0.0,8.7,3,27,09:42 AM,09:33 PM,07:19 AM,05:10 PM,8,10,12,10,23,39,77,2.0,1030,14,10,215,15,Tennessee
2011-07-06,13,11,0.0,7.0,3,35,10:15 AM,10:40 PM,07:18 AM,05:11 PM,9,10,12,10,27,45,82,2.3,1029,13,10,194,16,Tennessee
2011-07-07,14,10,0.0,7.0,3,42,10:48 AM,11:47 PM,07:18 AM,05:11 PM,8,11,12,11,12,44,78,0.6,1032,14,10,129,7,Tennessee
2011-07-08,14,9,0.0,8.7,3,49,11:23 AM,No moonset,07:18 AM,05:12 PM,7,10,11,10,20,36,76,0.3,1034,14,10,116,12,Tennessee
2011-07-09,14,7,0.0,7.0,3,56,12:00 PM,12:55 AM,07:18 AM,05:13 PM,7,10,11,10,9,44,80,0.2,1032,14,10,166,5,Tennessee
2011-07-10,15,8,0.0,8.7,4,64,12:41 PM,02:03 AM,07:18 AM,05:13 PM,8,10,11,10,17,27,84,0.1,1030,15,10,69,10,Tennessee
2011-07-11,14,10,0.0,5.4,3,71,01:29 PM,03:11 AM,07:17 AM,05:14 PM,8,10,11,10,26,65,81,0.8,1025,14,8,51,16,Tennessee
2011-07-12,15,10,0.0,8.7,3,78,02:22 PM,04:15 AM,07:17 AM,05:14 PM,8,10,12,10,22,57,81,0.7,1021,15,8,46,14,Tennessee
2011-07-13,16,9,0.0,8.7,4,86,03:21 PM,05:16 AM,07:17 AM,05:15 PM,9,11,12,11,17,16,83,0.0,1020,16,10,61,9,Tennessee
2011-07-14,17,10,0.0,8.7,4,93,04:22 PM,06:09 AM,07:16 AM,05:15 PM,9,12,13,12,27,2,80,0.0,1018,17,10,141,15,Tennessee
2011-07-15,15,12,0.0,7.1,3,100,05:26 PM,06:56 AM,07:16 AM,05:16 PM,11,11,13,11,39,36,85,10.3,1010,15,9,219,23,Tennessee
2011-07-16,15,10,0.0,8.7,4,100,06:27 PM,07:36 AM,07:15 AM,05:17 PM,7,11,12,11,23,6,73,0.6,1019,15,10,268,14,Tennessee
2011-07-17,15,9,0.0,8.7,4,85,07:28 PM,08:11 AM,07:15 AM,05:17 PM,6,10,11,10,18,4,75,0.0,1023,15,10,290,10,Tennessee
2011-07-18,15,8,0.0,8.7,4,78,08:26 PM,08:42 AM,07:14 AM,05:18 PM,6,10,11,10,23,4,72,0.0,1023,15,10,74,13,Tennessee
2011-07-19,16,9,0.0,8.7,4,71,09:23 PM,09:11 AM,07:14 AM,05:19 PM,8,10,12,10,19,7,82,0.0,1017,16,10,172,11,Tennessee
2011-07-20,17,10,0.0,5.4,3,64,10:18 PM,09:39 AM,07:13 AM,05:19 PM,10,12,13,12,23,30,86,9.5,1015,17,9,314,14,Tennessee
2011-07-21,16,10,0.0,8.7,3,56,11:14 PM,10:06 AM,07:13 AM,05:20 PM,10,11,12,11,12,17,87,3.9,1016,16,10,254,7,Tennessee
2011-07-22,16,10,0.0,8.7,3,49,No moonrise,10:34 AM,07:12 AM,05:21 PM,9,11,12,11,26,10,84,1.6,1015,16,9,310,15,Tennessee
2011-07-23,15,10,0.0,8.7,4,42,12:09 AM,11:06 AM,07:12 AM,05:21 PM,9,11,12,11,17,28,83,0.1,1019,15,10,306,11,Tennessee
2011-07-24,18,11,0.0,8.7,4,34,01:06 AM,11:40 AM,07:11 AM,05:22 PM,10,13,13,13,20,17,78,0.0,1018,18,10,151,11,Tennessee
2011-07-25,18,12,0.0,7.1,4,27,02:03 AM,12:18 PM,07:10 AM,05:23 PM,12,14,14,14,29,45,83,6.2,1014,18,8,219,16,Tennessee
2011-07-26,17,12,0.0,8.7,4,20,03:00 AM,01:03 PM,07:10 AM,05:24 PM,11,14,14,14,25,36,83,4.3,1014,17,10,299,15,Tennessee
2011-07-27,18,10,0.0,8.7,5,13,03:55 AM,01:55 PM,07:09 AM,05:24 PM,10,13,14,13,31,24,79,1.0,1008,18,10,218,18,Tennessee
2011-07-28,17,13,0.0,8.7,4,5,04:48 AM,02:52 PM,07:08 AM,05:25 PM,11,13,15,13,53,48,78,3.1,997,17,10,316,35,Tennessee
2011-07-29,15,12,0.0,3.8,3,0,05:38 AM,03:56 PM,07:07 AM,05:26 PM,9,11,13,11,49,63,77,6.8,1003,15,10,297,32,Tennessee
2011-07-30,17,12,0.0,8.7,3,0,06:22 AM,05:02 PM,07:07 AM,05:26 PM,10,13,14,13,46,27,79,1.6,1004,17,10,310,30,Tennessee
2011-07-31,15,12,0.0,8.7,3,0,07:03 AM,06:11 PM,07:06 AM,05:27 PM,9,11,13,11,53,41,74,7.2,1002,15,10,298,34,Tennessee
2011-08-01,18,12,0.0,8.7,4,9,07:41 AM,07:20 PM,07:05 AM,05:28 PM,11,13,15,13,50,52,78,2.8,1004,18,10,300,32,Tennessee
2011-08-02,18,12,0.0,5.5,3,16,08:15 AM,08:28 PM,07:04 AM,05:29 PM,11,12,14,12,49,59,80,18.8,1006,18,9,287,32,Tennessee
2011-08-03,12,9,0.0,8.7,3,24,08:50 AM,09:37 PM,07:03 AM,05:29 PM,7,8,11,8,46,23,76,13.7,1014,12,9,257,29,Tennessee
2011-08-04,14,9,0.0,8.7,3,31,09:25 AM,10:46 PM,07:02 AM,05:30 PM,7,9,11,9,29,24,74,0.3,1024,14,10,208,18,Tennessee
2011-08-05,14,8,0.0,5.5,3,38,10:01 AM,11:55 PM,07:01 AM,05:31 PM,6,10,11,10,14,43,74,0.0,1025,14,10,105,8,Tennessee
2011-08-06,15,8,0.0,8.7,4,45,10:42 AM,No moonset,07:01 AM,05:32 PM,6,8,11,8,33,11,72,0.0,1019,15,10,37,20,Tennessee
2011-08-07,17,10,0.0,5.5,3,53,11:27 AM,01:03 AM,07:00 AM,05:32 PM,8,12,13,12,27,43,73,0.1,1015,17,10,241,17,Tennessee
2011-08-08,16,11,0.0,8.7,3,60,12:18 PM,02:08 AM,06:59 AM,05:33 PM,9,10,12,10,36,40,83,4.6,1013,16,10,296,23,Tennessee
2011-08-09,15,11,0.0,4.0,3,67,01:14 PM,03:09 AM,06:58 AM,05:34 PM,9,11,13,11,29,74,77,0.7,1019,15,10,249,19,Tennessee
2011-08-10,16,10,0.0,8.7,4,74,02:13 PM,04:04 AM,06:57 AM,05:35 PM,8,12,12,12,11,27,77,0.0,1023,16,10,181,6,Tennessee
2011-08-11,16,9,0.0,8.7,4,82,03:15 PM,04:52 AM,06:55 AM,05:35 PM,8,11,12,11,16,1,77,0.0,1022,16,10,209,9,Tennessee
2011-08-12,16,9,0.0,8.7,4,89,04:16 PM,05:34 AM,06:54 AM,05:36 PM,8,11,12,11,26,9,76,0.0,1015,16,10,34,15,Tennessee
2011-08-13,20,12,0.0,8.7,4,96,05:17 PM,06:10 AM,06:53 AM,05:37 PM,11,14,15,14,34,39,78,1.6,1006,20,9,237,20,Tennessee
2011-08-14,16,12,0.0,5.6,3,100,06:15 PM,06:43 AM,06:52 AM,05:38 PM,9,12,14,12,43,36,75,1.3,1007,16,10,295,29,Tennessee
2011-08-15,16,9,0.0,7.2,3,89,07:13 PM,07:13 AM,06:51 AM,05:38 PM,8,10,12,10,47,34,80,19.6,1005,16,9,301,30,Tennessee
2011-08-16,13,8,0.0,5.6,3,82,08:09 PM,07:41 AM,06:50 AM,05:39 PM,6,7,10,7,38,55,74,8.1,1015,13,10,252,24,Tennessee
2011-08-17,16,9,0.0,7.2,3,75,09:04 PM,08:08 AM,06:49 AM,05:40 PM,9,11,12,11,28,34,81,0.2,1022,16,10,290,17,Tennessee
2011-08-18,17,9,0.0,8.7,4,67,10:00 PM,08:36 AM,06:48 AM,05:40 PM,9,11,13,11,23,26,79,0.0,1022,17,10,329,14,Tennessee
2011-08-19,18,9,0.0,8.7,4,60,10:55 PM,09:06 AM,06:46 AM,05:41 PM,8,12,13,12,27,11,73,0.0,1019,18,10,179,15,Tennessee
2011-08-20,20,12,0.0,8.7,4,53,11:52 PM,09:39 AM,06:45 AM,05:42 PM,11,15,15,15,31,10,74,1.3,1015,20,10,292,17,Tennessee
2011-08-21,23,14,0.0,5.6,4,46,No moonrise,10:15 AM,06:44 AM,05:43 PM,14,18,18,18,38,61,79,2.1,1011,23,10,218,21,Tennessee
2011-08-22,15,10,0.0,5.7,3,38,12:48 AM,10:57 AM,06:43 AM,05:43 PM,10,13,14,13,37,33,77,6.7,1016,15,10,296,24,Tennessee
2011-08-23,18,9,0.0,8.7,4,31,01:43 AM,11:44 AM,06:41 AM,05:44 PM,8,12,13,12,34,15,74,0.4,1020,18,10,326,21,Tennessee
2011-08-24,15,10,0.0,8.7,3,24,02:36 AM,12:38 PM,06:40 AM,05:45 PM,8,10,12,10,31,33,75,4.2,1023,15,10,251,20,Tennessee
2011-08-25,15,9,0.0,8.7,3,16,03:27 AM,01:38 PM,06:39 AM,05:46 PM,8,11,12,11,19,40,76,1.1,1027,15,10,290,12,Tennessee
2011-08-26,16,9,0.0,8.7,4,9,04:13 AM,02:42 PM,06:38 AM,05:46 PM,9,11,12,11,27,27,80,0.3,1024,16,10,295,17,Tennessee
2011-08-27,17,10,0.0,5.7,3,2,04:56 AM,03:50 PM,06:36 AM,05:47 PM,11,12,14,12,27,46,84,0.2,1020,17,10,286,17,Tennessee
2011-08-28,17,12,0.0,5.7,3,0,05:35 AM,04:59 PM,06:35 AM,05:48 PM,11,13,14,13,21,61,83,1.5,1021,17,10,196,14,Tennessee
2011-08-29,17,12,0.0,8.7,5,0,06:11 AM,06:09 PM,06:34 AM,05:48 PM,11,13,14,13,23,28,85,0.2,1022,17,10,75,15,Tennessee
2011-08-30,18,12,0.0,8.7,4,5,06:47 AM,07:20 PM,06:32 AM,05:49 PM,12,14,15,14,19,50,85,1.4,1017,18,10,98,12,Tennessee
