date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,30,27,0.0,11.6,6,24,01:56 AM,03:25 PM,06:21 AM,08:23 PM,24,32,32,28,29,17,77,1.6,1012,30,10,165,20,Texas
2011-06-26,30,27,0.0,11.6,7,17,02:31 AM,04:19 PM,06:22 AM,08:23 PM,24,33,33,28,27,11,78,0.0,1013,30,10,168,19,Texas
2011-06-27,31,28,0.0,9.3,6,9,03:10 AM,05:16 PM,06:22 AM,08:23 PM,24,34,34,29,23,41,76,4.5,1014,31,10,176,15,Texas
2011-06-28,30,27,0.0,11.6,7,2,03:54 AM,06:11 PM,06:22 AM,08:23 PM,24,33,33,28,23,24,78,0.1,1016,30,10,145,15,Texas
2011-06-29,31,27,0.0,11.6,6,0,04:43 AM,07:06 PM,06:23 AM,08:23 PM,24,33,33,28,18,24,76,0.1,1015,31,10,127,12,Texas
2011-06-30,31,27,0.0,11.6,6,0,05:39 AM,07:58 PM,06:23 AM,08:23 PM,23,32,32,29,18,15,73,2.4,1014,31,10,136,11,Texas
2011-07-01,31,27,0.0,11.6,6,0,06:38 AM,08:46 PM,06:23 AM,08:23 PM,24,33,33,28,18,6,76,3.0,1015,31,10,156,12,Texas
2011-07-02,32,26,0.0,11.6,7,6,07:41 AM,09:31 PM,06:24 AM,08:23 PM,24,33,33,29,18,7,76,0.0,1016,32,10,216,11,Texas
2011-07-03,32,26,0.0,11.6,6,13,08:45 AM,10:11 PM,06:24 AM,08:23 PM,23,32,32,28,20,12,72,0.6,1014,32,10,227,13,Texas
2011-07-04,30,26,0.0,11.6,7,20,09:49 AM,10:49 PM,06:24 AM,08:23 PM,23,31,31,28,18,8,73,0.0,1014,30,10,201,12,Texas
2011-07-05,31,26,0.0,11.6,7,27,10:52 AM,11:26 PM,06:25 AM,08:23 PM,23,32,32,28,16,9,73,0.0,1014,31,10,185,11,Texas
2011-07-06,30,26,0.0,10.4,7,35,11:56 AM,No moonset,06:25 AM,08:23 PM,23,32,32,28,15,26,75,0.5,1014,30,10,165,10,Texas
2011-07-07,31,26,0.0,11.6,6,42,01:00 PM,12:02 AM,06:26 AM,08:23 PM,23,32,32,28,18,10,73,1.1,1013,31,10,196,12,Texas
2011-07-08,31,27,0.0,11.6,6,49,02:04 PM,12:40 AM,06:26 AM,08:22 PM,24,33,33,29,24,9,75,0.4,1011,31,10,211,16,Texas
2011-07-09,31,27,0.0,11.6,6,56,03:10 PM,01:21 AM,06:27 AM,08:22 PM,24,34,34,29,24,16,74,0.6,1012,31,10,191,16,Texas
2011-07-10,31,27,0.0,11.6,6,64,04:14 PM,02:06 AM,06:27 AM,08:22 PM,24,33,33,29,23,17,75,7.5,1014,31,9,170,15,Texas
2011-07-11,31,27,0.0,11.6,6,71,05:18 PM,02:55 AM,06:28 AM,08:22 PM,24,34,34,29,21,21,75,3.2,1015,31,10,181,14,Texas
2011-07-12,31,27,0.0,11.6,6,78,06:17 PM,03:50 AM,06:28 AM,08:22 PM,25,35,35,29,24,20,76,11.2,1015,31,9,203,16,Texas
2011-07-13,31,27,0.0,11.6,6,86,07:12 PM,04:49 AM,06:29 AM,08:21 PM,24,34,34,29,23,9,75,7.3,1013,31,9,210,16,Texas
2011-07-14,32,27,0.0,11.6,6,93,07:59 PM,05:50 AM,06:29 AM,08:21 PM,24,34,34,29,25,17,76,10.9,1011,32,9,216,17,Texas
2011-07-15,31,27,0.0,11.6,6,100,08:41 PM,06:51 AM,06:30 AM,08:21 PM,24,33,33,29,24,55,78,15.4,1010,31,9,222,17,Texas
2011-07-16,30,27,0.0,11.6,6,100,09:18 PM,07:50 AM,06:30 AM,08:20 PM,24,32,32,28,20,32,78,20.3,1012,30,8,186,13,Texas
2011-07-17,31,27,0.0,11.6,7,85,09:52 PM,08:47 AM,06:31 AM,08:20 PM,23,33,33,29,17,24,73,0.1,1015,31,10,186,11,Texas
2011-07-18,31,26,0.0,11.6,6,78,10:23 PM,09:43 AM,06:31 AM,08:20 PM,23,33,33,29,16,37,72,2.7,1015,31,10,227,11,Texas
2011-07-19,29,26,0.0,10.4,6,71,10:53 PM,10:36 AM,06:32 AM,08:19 PM,23,31,31,28,17,48,78,32.4,1013,29,8,222,11,Texas
2011-07-20,31,26,0.0,11.6,6,64,11:24 PM,11:29 AM,06:32 AM,08:19 PM,24,33,33,28,22,19,75,13.1,1013,31,9,187,14,Texas
2011-07-21,31,27,0.0,11.6,6,56,11:55 PM,12:21 PM,06:33 AM,08:18 PM,24,33,33,29,23,13,75,1.2,1013,31,10,191,16,Texas
2011-07-22,31,27,0.0,11.6,6,49,No moonrise,01:15 PM,06:34 AM,08:18 PM,25,35,35,29,28,22,79,11.3,1013,31,9,186,18,Texas
2011-07-23,30,28,0.0,11.6,7,42,12:29 AM,02:09 PM,06:34 AM,08:17 PM,25,34,34,28,27,32,83,0.1,1015,30,10,187,17,Texas
2011-07-24,31,27,0.0,11.6,6,34,01:06 AM,03:04 PM,06:35 AM,08:17 PM,25,34,34,29,23,31,78,3.4,1017,31,10,202,16,Texas
2011-07-25,31,27,0.0,10.4,6,27,01:47 AM,03:59 PM,06:35 AM,08:16 PM,24,34,34,29,24,43,78,11.3,1015,31,9,217,16,Texas
2011-07-26,31,27,0.0,11.6,6,20,02:33 AM,04:54 PM,06:36 AM,08:16 PM,24,34,34,29,26,26,77,16.7,1011,31,8,218,17,Texas
2011-07-27,31,27,0.0,11.6,6,13,03:26 AM,05:47 PM,06:36 AM,08:15 PM,24,34,34,29,25,24,77,26.2,1011,31,8,198,16,Texas
2011-07-28,31,27,0.0,11.6,6,5,04:23 AM,06:37 PM,06:37 AM,08:14 PM,24,33,33,29,22,19,76,17.1,1013,31,8,161,14,Texas
2011-07-29,30,28,0.0,11.6,6,0,05:25 AM,07:24 PM,06:38 AM,08:14 PM,25,34,34,29,32,23,77,22.3,1014,30,8,118,21,Texas
2011-07-30,31,28,0.0,11.6,6,0,06:29 AM,08:07 PM,06:38 AM,08:13 PM,24,34,34,29,21,18,75,0.7,1017,31,10,138,14,Texas
2011-07-31,32,27,0.0,11.6,7,0,07:35 AM,08:47 PM,06:39 AM,08:12 PM,24,34,34,29,13,12,76,0.0,1017,32,10,199,9,Texas
2011-08-01,32,26,0.0,11.6,7,9,08:40 AM,09:26 PM,06:39 AM,08:12 PM,24,33,33,29,19,19,74,0.2,1015,32,10,224,12,Texas
2011-08-02,32,27,0.0,11.6,7,16,09:46 AM,10:03 PM,06:40 AM,08:11 PM,24,34,34,29,23,13,74,1.0,1013,32,10,218,15,Texas
2011-08-03,32,27,0.0,11.6,8,24,10:51 AM,10:41 PM,06:41 AM,08:10 PM,25,35,35,29,22,10,78,0.0,1012,32,10,220,15,Texas
2011-08-04,32,27,0.0,11.6,7,31,11:57 AM,11:22 PM,06:41 AM,08:10 PM,25,34,34,29,21,4,78,0.0,1012,32,10,211,14,Texas
2011-08-05,31,27,0.0,11.6,7,38,01:03 PM,No moonset,06:42 AM,08:09 PM,25,35,35,29,21,10,78,0.0,1013,31,10,198,14,Texas
2011-08-06,31,27,0.0,11.6,6,45,02:08 PM,12:05 AM,06:42 AM,08:08 PM,24,34,34,29,20,12,75,0.8,1013,31,10,195,14,Texas
2011-08-07,32,28,0.0,11.6,7,53,03:11 PM,12:53 AM,06:43 AM,08:07 PM,25,35,35,29,24,14,75,0.4,1013,32,10,192,17,Texas
2011-08-08,32,28,0.0,11.6,8,60,04:11 PM,01:46 AM,06:44 AM,08:06 PM,25,35,35,29,29,21,78,0.0,1011,32,10,205,20,Texas
2011-08-09,32,27,0.0,11.6,7,67,05:06 PM,02:42 AM,06:44 AM,08:05 PM,25,35,35,29,30,15,78,0.4,1011,32,10,202,20,Texas
2011-08-10,32,28,0.0,11.6,8,74,05:55 PM,03:41 AM,06:45 AM,08:05 PM,25,35,35,29,29,22,79,0.1,1010,32,10,194,20,Texas
2011-08-11,32,28,0.0,11.6,7,82,06:38 PM,04:41 AM,06:45 AM,08:04 PM,26,36,36,30,25,29,80,0.5,1012,32,10,185,17,Texas
2011-08-12,31,28,0.0,10.4,7,89,07:17 PM,05:40 AM,06:46 AM,08:03 PM,25,36,36,30,22,17,78,0.0,1013,31,10,176,15,Texas
2011-08-13,32,27,0.0,11.6,6,96,07:52 PM,06:38 AM,06:46 AM,08:02 PM,25,35,35,29,23,13,77,1.5,1014,32,10,190,16,Texas
2011-08-14,33,27,0.0,11.6,7,100,08:23 PM,07:34 AM,06:47 AM,08:01 PM,24,35,35,30,18,16,75,6.1,1013,33,10,219,12,Texas
