date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,30,25,0.0,10.2,6,24,01:03 AM,01:15 PM,06:27 AM,06:18 PM,22,29,29,27,9,51,76,3.5,1010,30,9,125,6,Utah
2011-06-26,30,25,0.0,10.2,6,17,01:47 AM,01:58 PM,06:27 AM,06:18 PM,22,29,29,27,11,51,77,11.2,1010,30,8,142,7,Utah
2011-06-27,29,24,0.0,8.8,6,9,02:34 AM,02:43 PM,06:27 AM,06:18 PM,22,28,28,26,10,52,78,3.9,1011,29,10,121,6,Utah
2011-06-28,30,24,0.0,11.6,6,2,03:23 AM,03:32 PM,06:27 AM,06:19 PM,22,29,29,26,9,31,78,5.9,1011,30,10,149,6,Utah
2011-06-29,31,25,0.0,11.6,6,0,04:15 AM,04:24 PM,06:27 AM,06:19 PM,22,30,30,27,11,33,77,6.9,1010,31,9,141,7,Utah
2011-06-30,31,25,0.0,11.6,6,0,05:09 AM,05:18 PM,06:27 AM,06:19 PM,23,31,31,27,7,27,78,13.2,1010,31,9,173,5,Utah
2011-07-01,30,25,0.0,8.8,6,0,06:03 AM,06:14 PM,06:28 AM,06:19 PM,23,30,30,27,14,42,82,34.2,1010,30,8,150,9,Utah
2011-07-02,29,25,0.0,10.2,6,6,06:57 AM,07:10 PM,06:28 AM,06:20 PM,23,29,29,26,9,57,82,7.2,1010,29,8,157,6,Utah
2011-07-03,29,25,0.0,11.6,6,13,07:50 AM,08:04 PM,06:28 AM,06:20 PM,22,29,29,26,9,32,78,3.1,1011,29,9,179,6,Utah
2011-07-04,30,25,0.0,11.6,7,20,08:41 AM,08:58 PM,06:28 AM,06:20 PM,22,29,29,27,8,23,75,0.1,1012,30,10,130,5,Utah
2011-07-05,29,24,0.0,11.6,6,27,09:30 AM,09:50 PM,06:28 AM,06:20 PM,21,28,28,26,10,41,76,4.6,1012,29,9,208,6,Utah
2011-07-06,30,25,0.0,11.6,6,35,10:18 AM,10:42 PM,06:28 AM,06:20 PM,22,29,29,26,10,28,76,1.2,1012,30,9,129,7,Utah
2011-07-07,30,24,0.0,11.6,6,42,11:06 AM,11:34 PM,06:29 AM,06:21 PM,22,29,29,26,10,44,80,5.7,1012,30,10,158,7,Utah
2011-07-08,28,25,0.0,11.6,6,49,11:55 AM,No moonset,06:29 AM,06:21 PM,21,28,28,26,11,46,75,13.1,1013,28,8,276,7,Utah
2011-07-09,27,24,0.0,6.0,6,56,12:45 PM,12:27 AM,06:29 AM,06:21 PM,21,27,27,25,13,63,78,9.4,1013,27,9,183,8,Utah
2011-07-10,31,24,0.0,11.6,6,64,01:39 PM,01:22 AM,06:29 AM,06:21 PM,21,29,29,27,13,13,70,6.3,1012,31,10,125,8,Utah
2011-07-11,31,24,0.0,11.6,7,71,02:34 PM,02:19 AM,06:29 AM,06:21 PM,21,29,29,27,11,6,73,0.5,1012,31,10,138,7,Utah
2011-07-12,31,24,0.0,11.6,7,78,03:33 PM,03:18 AM,06:29 AM,06:22 PM,21,30,30,27,15,11,70,0.0,1011,31,10,144,9,Utah
2011-07-13,31,24,0.0,11.6,7,86,04:30 PM,04:17 AM,06:29 AM,06:22 PM,21,30,30,27,13,11,71,1.5,1011,31,10,136,8,Utah
2011-07-14,31,25,0.0,11.6,7,93,05:28 PM,05:14 AM,06:29 AM,06:22 PM,22,30,30,27,12,15,72,1.2,1011,31,10,135,8,Utah
2011-07-15,32,25,0.0,11.6,6,100,06:22 PM,06:08 AM,06:29 AM,06:22 PM,22,31,31,28,13,14,72,4.3,1010,32,9,148,8,Utah
2011-07-16,31,26,0.0,11.6,6,100,07:14 PM,06:59 AM,06:29 AM,06:22 PM,22,30,30,27,16,33,72,2.2,1009,31,10,126,10,Utah
2011-07-17,31,25,0.0,11.6,6,85,08:02 PM,07:46 AM,06:29 AM,06:22 PM,22,30,30,28,11,18,72,1.2,1009,31,10,144,7,Utah
2011-07-18,32,25,0.0,11.6,6,78,08:47 PM,08:29 AM,06:29 AM,06:22 PM,22,30,30,27,15,24,75,10.5,1010,32,9,155,9,Utah
2011-07-19,30,25,0.0,11.6,6,71,09:31 PM,09:11 AM,06:29 AM,06:23 PM,22,30,30,27,11,40,76,14.8,1010,30,8,138,7,Utah
2011-07-20,30,25,0.0,11.6,6,64,10:14 PM,09:51 AM,06:29 AM,06:23 PM,23,30,30,27,13,48,80,17.8,1010,30,9,170,8,Utah
2011-07-21,27,25,0.0,7.4,6,56,10:57 PM,10:30 AM,06:29 AM,06:23 PM,23,29,29,26,8,65,85,52.3,1009,27,7,192,5,Utah
2011-07-22,28,25,0.0,10.2,6,49,11:41 PM,11:11 AM,06:29 AM,06:23 PM,23,29,29,26,5,55,83,3.4,1009,28,7,128,4,Utah
