date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,22,14,0.0,13.5,5,24,01:22 AM,03:25 PM,05:33 AM,08:35 PM,17,19,19,19,17,39,91,5.0,1012,22,6,100,11,Vermont
2011-06-26,25,18,0.0,11.4,5,17,01:52 AM,04:24 PM,05:34 AM,08:35 PM,20,23,23,21,17,73,92,4.7,1011,25,6,124,11,Vermont
2011-06-27,29,18,0.0,12.5,6,9,02:26 AM,05:25 PM,05:34 AM,08:35 PM,20,26,26,24,20,57,81,1.1,1012,29,8,207,12,Vermont
2011-06-28,25,14,0.0,14.5,5,2,03:07 AM,06:23 PM,05:34 AM,08:35 PM,17,21,21,20,15,26,83,0.0,1017,25,7,216,8,Vermont
2011-06-29,27,13,0.0,14.5,6,0,03:55 AM,07:18 PM,05:35 AM,08:35 PM,17,21,21,20,12,2,81,0.0,1017,27,10,146,7,Vermont
2011-06-30,31,17,0.0,14.5,7,0,04:50 AM,08:08 PM,05:35 AM,08:35 PM,21,27,27,24,22,3,85,0.2,1014,31,10,164,13,Vermont
2011-07-01,32,21,0.0,14.5,7,0,05:52 AM,08:53 PM,05:36 AM,08:35 PM,24,31,31,27,22,7,85,0.2,1014,32,10,185,13,Vermont
2011-07-02,32,20,0.0,14.5,7,6,06:59 AM,09:33 PM,05:36 AM,08:35 PM,23,31,31,26,19,12,83,0.0,1015,32,9,222,11,Vermont
2011-07-03,28,20,0.0,14.5,6,13,08:08 AM,10:07 PM,05:37 AM,08:35 PM,21,26,26,24,16,26,88,2.1,1015,28,9,67,9,Vermont
2011-07-04,28,18,0.0,14.5,5,20,09:19 AM,10:38 PM,05:37 AM,08:35 PM,20,24,24,23,15,13,86,1.8,1014,28,8,47,9,Vermont
2011-07-05,28,15,0.0,14.5,7,27,10:29 AM,11:09 PM,05:38 AM,08:34 PM,19,24,24,23,8,9,82,0.0,1015,28,10,108,5,Vermont
2011-07-06,30,17,0.0,14.5,7,35,11:40 AM,11:38 PM,05:39 AM,08:34 PM,20,26,26,24,8,6,80,0.1,1014,30,10,165,4,Vermont
2011-07-07,27,19,0.0,12.4,5,42,12:50 PM,No moonset,05:39 AM,08:34 PM,21,24,24,23,12,36,91,13.9,1012,27,9,82,7,Vermont
2011-07-08,28,18,0.0,14.5,6,49,02:02 PM,12:09 AM,05:40 AM,08:34 PM,20,24,24,23,12,20,87,1.0,1011,28,8,38,8,Vermont
2011-07-09,29,17,0.0,14.5,7,56,03:13 PM,12:44 AM,05:40 AM,08:33 PM,20,25,25,23,14,5,85,0.0,1012,29,10,147,8,Vermont
2011-07-10,32,20,0.0,14.5,6,64,04:23 PM,01:23 AM,05:41 AM,08:33 PM,24,31,31,26,19,25,89,0.0,1010,32,8,159,11,Vermont
2011-07-11,32,26,0.0,14.5,6,71,05:30 PM,02:08 AM,05:42 AM,08:32 PM,26,34,34,28,18,30,90,0.1,1010,32,6,259,10,Vermont
2011-07-12,30,23,0.0,14.5,6,78,06:30 PM,03:01 AM,05:42 AM,08:32 PM,24,31,31,26,16,27,90,2.8,1013,30,6,47,10,Vermont
2011-07-13,26,20,0.0,11.4,5,86,07:22 PM,04:00 AM,05:43 AM,08:31 PM,21,24,24,23,21,57,92,8.0,1015,26,7,57,13,Vermont
2011-07-14,28,16,0.0,14.5,5,93,08:06 PM,05:03 AM,05:44 AM,08:31 PM,20,24,24,22,16,28,89,0.4,1014,28,8,85,10,Vermont
2011-07-15,29,20,0.0,14.5,6,100,08:43 PM,06:09 AM,05:45 AM,08:30 PM,22,26,26,24,15,22,88,0.0,1013,29,7,112,9,Vermont
2011-07-16,30,21,0.0,14.5,7,100,09:15 PM,07:14 AM,05:45 AM,08:30 PM,22,29,29,25,14,17,83,0.0,1015,30,10,146,8,Vermont
2011-07-17,32,21,0.0,14.5,7,85,09:43 PM,08:17 AM,05:46 AM,08:29 PM,23,31,31,27,14,13,82,0.0,1017,32,10,194,8,Vermont
2011-07-18,32,22,0.0,14.5,7,78,10:08 PM,09:18 AM,05:47 AM,08:28 PM,24,33,33,27,20,13,84,0.0,1016,32,10,223,11,Vermont
2011-07-19,34,24,0.0,14.5,7,71,10:32 PM,10:17 AM,05:48 AM,08:28 PM,26,36,36,29,18,14,87,0.0,1012,34,7,257,10,Vermont
2011-07-20,33,23,0.0,14.5,7,64,10:57 PM,11:16 AM,05:49 AM,08:27 PM,25,34,34,28,19,0,83,0.0,1010,33,10,228,11,Vermont
2011-07-21,34,23,0.0,14.5,8,56,11:24 PM,12:14 PM,05:49 AM,08:26 PM,25,35,35,29,16,3,78,1.4,1009,34,10,223,9,Vermont
2011-07-22,34,23,0.0,14.5,7,49,11:52 PM,01:13 PM,05:50 AM,08:25 PM,25,35,35,29,19,6,80,3.3,1011,34,10,181,10,Vermont
2011-07-23,31,24,0.0,14.5,7,42,No moonrise,02:12 PM,05:51 AM,08:25 PM,24,31,31,26,16,10,89,0.7,1013,31,10,188,8,Vermont
2011-07-24,31,21,0.0,13.4,6,34,12:24 AM,03:11 PM,05:52 AM,08:24 PM,24,29,29,26,12,25,90,22.5,1014,31,8,214,7,Vermont
2011-07-25,31,20,0.0,14.5,6,27,01:01 AM,04:09 PM,05:53 AM,08:23 PM,23,30,30,26,9,21,87,0.3,1013,31,7,175,5,Vermont
2011-07-26,32,22,0.0,14.5,6,20,01:45 AM,05:06 PM,05:54 AM,08:22 PM,24,33,33,27,13,9,85,3.5,1010,32,7,208,7,Vermont
2011-07-27,31,23,0.0,14.5,6,13,02:36 AM,05:58 PM,05:55 AM,08:21 PM,24,32,32,27,22,14,84,1.9,1009,31,10,174,12,Vermont
2011-07-28,31,23,0.0,14.5,6,5,03:36 AM,06:46 PM,05:56 AM,08:20 PM,24,32,32,27,19,14,83,10.8,1011,31,9,221,11,Vermont
2011-07-29,30,24,0.0,13.4,6,0,04:41 AM,07:28 PM,05:56 AM,08:19 PM,25,32,32,27,16,43,89,4.4,1014,30,7,239,9,Vermont
2011-07-30,29,22,0.0,13.4,6,0,05:51 AM,08:05 PM,05:57 AM,08:18 PM,24,29,29,25,9,54,91,3.4,1016,29,7,111,5,Vermont
2011-07-31,32,18,0.0,13.4,6,0,07:02 AM,08:39 PM,05:58 AM,08:17 PM,23,30,30,25,5,25,87,0.7,1017,32,9,129,3,Vermont
2011-08-01,29,28,0.0,11.9,6,9,07:28 AM,08:04 PM,05:47 AM,06:38 PM,24,33,33,28,46,55,78,10.3,1011,29,9,73,32,Vermont
2011-08-02,28,28,0.0,12.9,6,16,08:26 AM,08:48 PM,05:47 AM,06:37 PM,24,32,32,28,53,62,79,74.3,1011,28,4,120,32,Vermont
2011-08-03,29,28,0.0,10.6,6,24,09:25 AM,09:33 PM,05:47 AM,06:37 PM,25,33,33,28,38,63,81,24.6,1013,29,8,105,24,Vermont
2011-08-04,29,28,0.0,12.9,6,31,10:24 AM,10:19 PM,05:48 AM,06:36 PM,25,33,33,29,38,41,79,0.5,1015,29,10,101,27,Vermont
