date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,30,23,0.0,14.5,6,24,01:29 AM,03:19 PM,05:46 AM,08:27 PM,21,28,28,26,14,9,78,8.6,1010,30,9,273,8,Virginia
2011-06-26,31,22,0.0,14.5,7,17,02:00 AM,04:16 PM,05:47 AM,08:27 PM,20,28,28,26,15,7,71,0.0,1014,31,10,213,9,Virginia
2011-06-27,27,23,0.0,12.4,6,9,02:36 AM,05:15 PM,05:47 AM,08:27 PM,21,27,27,25,26,40,77,1.2,1013,27,10,211,16,Virginia
2011-06-28,32,23,0.0,13.5,6,2,03:17 AM,06:12 PM,05:47 AM,08:27 PM,23,30,30,27,26,27,80,5.4,1013,32,10,223,16,Virginia
2011-06-29,28,23,0.0,14.5,6,0,04:05 AM,07:07 PM,05:48 AM,08:27 PM,21,27,27,25,15,24,81,4.4,1013,28,9,167,10,Virginia
2011-06-30,27,23,0.0,14.5,7,0,05:00 AM,07:59 PM,05:48 AM,08:27 PM,19,26,26,25,16,1,73,0.0,1015,27,10,127,11,Virginia
2011-07-01,29,22,0.0,14.5,7,0,06:01 AM,08:45 PM,05:48 AM,08:27 PM,19,27,27,25,12,7,70,0.9,1016,29,10,172,7,Virginia
2011-07-02,29,22,0.0,14.5,6,6,07:07 AM,09:26 PM,05:49 AM,08:27 PM,19,27,27,25,18,9,70,0.3,1017,29,10,169,11,Virginia
2011-07-03,31,23,0.0,14.5,6,13,08:14 AM,10:03 PM,05:49 AM,08:27 PM,21,30,30,27,25,17,74,5.3,1014,31,10,221,15,Virginia
2011-07-04,31,23,0.0,14.5,6,20,09:22 AM,10:37 PM,05:50 AM,08:27 PM,23,30,30,26,24,20,81,7.6,1012,31,9,241,15,Virginia
2011-07-05,30,22,0.0,13.4,6,27,10:30 AM,11:09 PM,05:50 AM,08:26 PM,23,29,29,26,16,35,83,7.8,1014,30,9,194,10,Virginia
2011-07-06,28,24,0.0,14.5,6,35,11:39 AM,11:41 PM,05:51 AM,08:26 PM,23,28,28,25,24,37,87,30.1,1015,28,7,223,15,Virginia
2011-07-07,30,23,0.0,13.4,6,42,12:46 PM,No moonset,05:51 AM,08:26 PM,23,29,29,26,21,24,83,5.3,1014,30,10,214,14,Virginia
2011-07-08,30,25,0.0,14.5,6,49,01:56 PM,12:14 AM,05:52 AM,08:26 PM,23,30,30,27,29,21,82,32.5,1011,30,7,208,18,Virginia
2011-07-09,28,24,0.0,14.5,6,56,03:05 PM,12:51 AM,05:53 AM,08:25 PM,22,28,28,25,16,17,81,1.7,1012,28,10,129,12,Virginia
2011-07-10,29,22,0.0,14.5,7,64,04:13 PM,01:32 AM,05:53 AM,08:25 PM,21,28,28,26,10,1,77,0.0,1017,29,10,145,6,Virginia
2011-07-11,30,22,0.0,14.5,7,71,05:19 PM,02:18 AM,05:54 AM,08:25 PM,21,28,28,26,24,3,75,0.0,1016,30,10,192,15,Virginia
2011-07-12,33,25,0.0,14.5,8,78,06:19 PM,03:12 AM,05:54 AM,08:24 PM,23,33,33,29,24,11,75,0.2,1010,33,10,248,15,Virginia
2011-07-13,33,26,0.0,13.4,6,86,07:12 PM,04:10 AM,05:55 AM,08:24 PM,23,32,32,28,16,16,76,2.2,1009,33,10,285,9,Virginia
2011-07-14,26,22,0.0,14.5,6,93,07:58 PM,05:13 AM,05:56 AM,08:23 PM,18,26,26,24,32,3,67,0.0,1014,26,10,38,22,Virginia
2011-07-15,26,21,0.0,14.5,6,100,08:36 PM,06:16 AM,05:56 AM,08:23 PM,15,25,25,23,22,11,58,0.0,1019,26,10,108,15,Virginia
2011-07-16,27,21,0.0,14.5,7,100,09:11 PM,07:20 AM,05:57 AM,08:22 PM,17,26,26,24,17,3,63,0.0,1021,27,10,136,11,Virginia
2011-07-17,29,21,0.0,14.5,7,85,09:41 PM,08:21 AM,05:58 AM,08:22 PM,18,27,27,25,19,9,66,0.0,1022,29,10,176,12,Virginia
2011-07-18,29,22,0.0,14.5,7,78,10:08 PM,09:20 AM,05:58 AM,08:21 PM,19,27,27,25,24,6,71,0.0,1017,29,10,200,15,Virginia
2011-07-19,31,23,0.0,14.5,7,71,10:34 PM,10:17 AM,05:59 AM,08:21 PM,21,30,30,27,22,13,73,0.0,1011,31,10,217,14,Virginia
2011-07-20,31,25,0.0,14.2,6,64,11:01 PM,11:14 AM,06:00 AM,08:20 PM,24,32,32,28,19,20,79,1.2,1011,31,10,182,11,Virginia
2011-07-21,33,25,0.0,11.6,8,56,11:29 PM,12:10 PM,06:01 AM,08:19 PM,24,34,34,29,21,13,79,0.6,1011,33,10,184,13,Virginia
2011-07-22,34,26,0.0,11.6,8,49,11:59 PM,01:07 PM,06:01 AM,08:19 PM,24,35,35,30,28,7,73,0.0,1013,34,10,224,15,Virginia
2011-07-23,29,26,0.0,11.6,6,42,No moonrise,02:04 PM,06:02 AM,08:18 PM,25,32,32,28,32,13,84,3.4,1014,29,9,228,18,Virginia
2011-07-24,33,26,0.0,11.6,7,34,12:33 AM,03:02 PM,06:03 AM,08:17 PM,24,33,33,29,21,20,74,8.9,1013,33,9,254,12,Virginia
2011-07-25,31,24,0.0,11.6,6,27,01:11 AM,03:59 PM,06:04 AM,08:17 PM,23,31,31,27,18,32,82,9.2,1009,31,9,233,11,Virginia
2011-07-26,32,23,0.0,11.6,7,20,01:56 AM,04:55 PM,06:04 AM,08:16 PM,23,31,31,27,18,23,79,1.0,1008,32,10,244,11,Virginia
2011-07-27,30,24,0.0,11.6,7,13,02:47 AM,05:48 PM,06:05 AM,08:15 PM,22,29,29,27,20,11,75,0.0,1013,30,10,141,13,Virginia
2011-07-28,31,24,0.0,11.6,7,5,03:46 AM,06:37 PM,06:06 AM,08:14 PM,23,31,31,28,22,10,76,0.2,1016,31,10,156,13,Virginia
2011-07-29,36,26,0.0,11.6,8,0,04:49 AM,07:21 PM,06:07 AM,08:13 PM,24,34,34,29,15,3,73,0.0,1014,36,10,238,9,Virginia
