date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,23,9,0.0,14.5,5,24,01:12 AM,03:32 PM,05:16 AM,08:48 PM,12,17,17,17,12,22,75,0.0,1013,23,10,155,7,Wisconsin
2011-06-26,23,11,0.0,14.5,6,17,01:40 AM,04:33 PM,05:17 AM,08:48 PM,16,18,19,18,14,7,85,0.0,1013,23,10,189,10,Wisconsin
2011-06-27,24,16,0.0,12.5,5,9,02:12 AM,05:35 PM,05:17 AM,08:48 PM,17,19,20,19,20,48,84,0.7,1010,24,9,214,12,Wisconsin
2011-06-28,22,12,0.0,13.5,4,2,02:51 AM,06:34 PM,05:17 AM,08:48 PM,14,16,17,16,23,17,86,0.0,1015,22,9,295,15,Wisconsin
2011-06-29,24,12,0.0,14.5,5,0,03:38 AM,07:30 PM,05:18 AM,08:48 PM,16,18,19,18,16,24,89,0.0,1017,24,6,121,10,Wisconsin
2011-06-30,28,16,0.0,13.5,5,0,04:33 AM,08:19 PM,05:18 AM,08:47 PM,21,24,24,22,25,58,92,0.0,1012,28,6,152,16,Wisconsin
2011-07-01,29,24,0.0,13.5,6,0,05:36 AM,09:02 PM,05:19 AM,08:47 PM,25,31,31,26,35,41,92,10.4,1009,29,9,198,21,Wisconsin
2011-07-02,26,18,0.0,14.5,6,6,06:45 AM,09:39 PM,05:19 AM,08:47 PM,20,24,24,23,25,13,87,0.0,1014,26,10,292,15,Wisconsin
2011-07-03,25,14,0.0,14.5,6,13,07:58 AM,10:11 PM,05:20 AM,08:47 PM,15,19,20,19,18,14,78,0.0,1017,25,10,236,10,Wisconsin
2011-07-04,27,14,0.0,14.5,6,20,09:11 AM,10:39 PM,05:21 AM,08:47 PM,18,22,22,21,15,4,86,0.0,1015,27,9,287,9,Wisconsin
2011-07-05,27,16,0.0,13.5,5,27,10:25 AM,11:06 PM,05:21 AM,08:46 PM,19,22,22,21,22,24,90,9.7,1014,27,6,263,13,Wisconsin
