date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,22,11,0.0,14.5,5,24,01:58 AM,04:11 PM,06:05 AM,09:26 PM,13,17,17,17,18,27,81,0.0,1013,22,8,299,11,Wyoming
2011-06-26,27,13,0.0,14.5,6,17,02:26 AM,05:12 PM,06:05 AM,09:26 PM,16,21,21,20,12,10,80,0.0,1014,27,10,111,7,Wyoming
2011-06-27,25,16,0.0,11.5,5,9,03:00 AM,06:13 PM,06:06 AM,09:26 PM,18,22,22,21,19,51,83,1.7,1011,25,9,189,12,Wyoming
2011-06-28,20,15,0.0,14.5,5,2,03:39 AM,07:12 PM,06:06 AM,09:26 PM,15,17,17,17,21,25,87,0.4,1013,20,10,285,14,Wyoming
2011-06-29,24,11,0.0,14.5,6,0,04:26 AM,08:07 PM,06:07 AM,09:26 PM,15,18,19,18,11,6,82,0.0,1019,24,9,237,8,Wyoming
2011-06-30,26,13,0.0,14.5,5,0,05:21 AM,08:57 PM,06:07 AM,09:26 PM,17,21,21,20,10,16,85,0.5,1017,26,9,159,6,Wyoming
2011-07-01,27,15,0.0,14.5,6,0,06:24 AM,09:41 PM,06:08 AM,09:26 PM,19,24,24,22,15,14,85,0.3,1014,27,9,182,9,Wyoming
2011-07-02,28,19,0.0,14.5,6,6,07:32 AM,10:18 PM,06:08 AM,09:26 PM,22,26,26,24,23,30,89,3.4,1013,28,10,256,14,Wyoming
2011-07-03,28,17,0.0,14.5,6,13,08:43 AM,10:52 PM,06:09 AM,09:25 PM,18,23,23,22,14,13,79,0.2,1015,28,10,257,8,Wyoming
2011-07-04,27,15,0.0,14.5,6,20,09:56 AM,11:22 PM,06:09 AM,09:25 PM,16,22,22,21,10,8,75,0.0,1015,27,10,242,6,Wyoming
2011-07-05,27,16,0.0,14.5,6,27,11:08 AM,11:50 PM,06:10 AM,09:25 PM,18,23,23,22,16,6,78,0.0,1014,27,10,235,9,Wyoming
2011-07-06,28,18,0.0,14.5,6,35,12:20 PM,No moonset,06:10 AM,09:25 PM,19,23,23,22,15,17,81,0.3,1014,28,9,262,9,Wyoming
2011-07-07,24,15,0.0,13.5,6,42,01:34 PM,12:17 AM,06:11 AM,09:24 PM,16,19,20,19,14,22,82,0.0,1015,24,10,68,8,Wyoming
2011-07-08,28,14,0.0,14.5,7,49,02:47 PM,12:46 AM,06:12 AM,09:24 PM,17,23,23,22,12,7,77,0.0,1011,28,9,128,7,Wyoming
2011-07-09,29,17,0.0,14.5,7,56,04:00 PM,01:19 AM,06:12 AM,09:23 PM,19,24,24,23,13,7,81,0.2,1014,29,8,143,8,Wyoming
2011-07-10,28,20,0.0,14.5,6,64,05:12 PM,01:56 AM,06:13 AM,09:23 PM,19,25,25,24,18,33,78,1.3,1013,28,10,216,11,Wyoming
2011-07-11,27,20,0.0,14.5,6,71,06:19 PM,02:40 AM,06:14 AM,09:22 PM,22,25,25,23,20,24,90,1.1,1009,27,8,223,13,Wyoming
2011-07-12,27,19,0.0,14.5,6,78,07:20 PM,03:32 AM,06:15 AM,09:22 PM,19,23,23,22,17,39,83,0.0,1013,27,8,311,11,Wyoming
2011-07-13,25,14,0.0,14.5,5,86,08:11 PM,04:31 AM,06:15 AM,09:21 PM,16,19,20,19,16,16,81,0.5,1017,25,9,170,10,Wyoming
2011-07-14,24,12,0.0,13.5,5,93,08:54 PM,05:36 AM,06:16 AM,09:21 PM,14,18,19,18,18,32,77,0.0,1018,24,10,97,10,Wyoming
2011-07-15,27,16,0.0,14.5,6,100,09:30 PM,06:42 AM,06:17 AM,09:20 PM,17,22,22,22,16,21,75,0.0,1016,27,10,113,9,Wyoming
2011-07-16,30,18,0.0,14.5,7,100,09:59 PM,07:49 AM,06:18 AM,09:19 PM,20,26,26,24,10,15,78,0.0,1017,30,10,190,6,Wyoming
2011-07-17,30,20,0.0,14.5,7,85,10:26 PM,08:53 AM,06:19 AM,09:19 PM,21,28,28,25,14,11,79,0.0,1017,30,10,217,9,Wyoming
2011-07-18,29,23,0.0,14.5,6,78,10:50 PM,09:56 AM,06:20 AM,09:18 PM,24,29,29,26,18,33,90,3.4,1013,29,10,239,11,Wyoming
2011-07-19,33,22,0.0,13.5,6,71,11:13 PM,10:58 AM,06:21 AM,09:17 PM,23,30,30,26,8,42,86,1.4,1011,33,7,143,5,Wyoming
2011-07-20,32,22,0.0,14.5,6,64,11:36 PM,11:58 AM,06:22 AM,09:16 PM,24,31,31,27,19,18,85,0.0,1008,32,8,223,11,Wyoming
2011-07-21,31,22,0.0,14.5,7,56,No moonrise,12:58 PM,06:22 AM,09:15 PM,22,30,30,26,22,4,79,0.0,1007,31,10,264,14,Wyoming
2011-07-22,30,18,0.0,14.5,6,49,12:00 AM,01:58 PM,06:23 AM,09:15 PM,21,26,26,24,10,7,82,1.1,1012,30,9,254,7,Wyoming
2011-07-23,26,20,0.0,14.5,6,42,12:27 AM,02:58 PM,06:24 AM,09:14 PM,22,25,25,23,9,16,92,0.2,1014,26,7,248,5,Wyoming
2011-07-24,31,19,0.0,14.5,7,34,12:58 AM,03:59 PM,06:25 AM,09:13 PM,22,27,27,25,10,11,87,1.0,1014,31,7,211,6,Wyoming
2011-07-25,28,19,0.0,14.5,5,27,01:34 AM,04:58 PM,06:26 AM,09:12 PM,19,24,24,23,16,30,81,0.2,1012,28,7,267,10,Wyoming
2011-07-26,25,17,0.0,14.5,6,20,02:17 AM,05:55 PM,06:27 AM,09:11 PM,17,22,22,21,18,3,79,0.0,1011,25,9,274,11,Wyoming
2011-07-27,27,15,0.0,12.4,5,13,03:08 AM,06:48 PM,06:28 AM,09:10 PM,19,23,23,21,19,64,90,12.6,1012,27,5,137,11,Wyoming
2011-07-28,29,22,0.0,14.5,6,5,04:07 AM,07:35 PM,06:29 AM,09:09 PM,23,28,28,25,15,36,89,9.0,1011,29,8,227,10,Wyoming
2011-07-29,28,21,0.0,14.5,6,0,05:14 AM,08:15 PM,06:30 AM,09:08 PM,21,26,26,24,14,32,84,40.8,1014,28,8,300,9,Wyoming
2011-07-30,30,18,0.0,14.5,7,0,06:24 AM,08:51 PM,06:31 AM,09:06 PM,20,26,26,24,11,2,76,0.0,1017,30,10,179,7,Wyoming
2011-07-31,29,19,0.0,14.5,7,0,07:39 AM,09:23 PM,06:32 AM,09:05 PM,20,26,26,24,19,6,78,0.2,1017,29,10,241,11,Wyoming
