date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-06-25,28,27,0.0,10.6,6,24,01:00 AM,01:43 PM,05:48 AM,06:31 PM,23,31,31,27,24,60,77,7.6,1013,28,10,88,17,new+jersey
2011-06-26,30,27,0.0,12.8,6,17,01:42 AM,02:31 PM,05:48 AM,06:31 PM,23,32,32,28,21,39,73,4.8,1013,30,10,87,15,new+jersey
2011-06-27,29,26,0.0,11.9,6,9,02:26 AM,03:22 PM,05:48 AM,06:31 PM,23,31,31,28,25,52,76,1.8,1014,29,10,83,17,new+jersey
2011-06-28,30,26,0.0,12.8,6,2,03:14 AM,04:14 PM,05:48 AM,06:31 PM,23,31,31,28,25,41,75,3.2,1013,30,10,77,17,new+jersey
2011-06-29,28,26,0.0,11.9,6,0,04:05 AM,05:08 PM,05:49 AM,06:31 PM,23,30,30,27,25,56,80,3.3,1012,28,9,84,17,new+jersey
2011-06-30,30,26,0.0,12.8,6,0,05:00 AM,06:02 PM,05:49 AM,06:31 PM,23,32,32,28,18,34,76,15.2,1011,30,9,75,12,new+jersey
2011-07-01,30,27,0.0,12.8,6,0,05:56 AM,06:55 PM,05:49 AM,06:32 PM,23,31,31,28,23,20,74,5.4,1011,30,10,97,16,new+jersey
2011-07-02,30,27,0.0,12.8,6,6,06:53 AM,07:47 PM,05:49 AM,06:32 PM,23,32,32,28,20,37,74,0.8,1011,30,10,82,14,new+jersey
2011-07-03,31,26,0.0,12.8,7,13,07:50 AM,08:35 PM,05:50 AM,06:32 PM,23,32,32,28,22,31,72,0.6,1011,31,10,99,15,new+jersey
2011-07-04,30,27,0.0,12.8,6,20,08:45 AM,09:22 PM,05:50 AM,06:32 PM,23,31,31,28,25,32,74,6.2,1012,30,9,83,18,new+jersey
2011-07-05,30,26,0.0,12.8,6,27,09:40 AM,10:08 PM,05:50 AM,06:32 PM,23,31,31,28,24,36,73,3.1,1012,30,10,78,17,new+jersey
2011-07-06,30,26,0.0,11.9,6,35,10:34 AM,10:53 PM,05:50 AM,06:32 PM,22,31,31,28,20,47,74,3.5,1013,30,10,101,14,new+jersey
2011-07-07,30,26,0.0,12.8,6,42,11:29 AM,11:40 PM,05:51 AM,06:32 PM,23,31,31,28,20,20,74,8.3,1014,30,9,86,14,new+jersey
2011-07-08,31,26,0.0,12.8,6,49,12:24 PM,No moonset,05:51 AM,06:32 PM,22,31,31,28,18,45,72,2.9,1013,31,10,81,12,new+jersey
